Distance_(microns),eve,en,mlpt,hb,kr,gt,svb,cad,runt,odd
72,211.889899,235.9575758,571.1464646,1372.153535,669.7585859,194.5191919,780.8464646,251.1666667,691.0787879,361.6181818
73,211.1030303,235.4434343,583.5131313,1373.778788,676.5575758,193.9878788,781.6909091,251.9616162,696.7545455,362.1313131
74,209.6626263,234.5050505,591.8141414,1369.350505,682.7929293,193.2979798,782.0939394,252.6242424,701.830303,364.7555556
75,208.3272727,234.7272727,592.5969697,1356.10404,683.8141414,193.430303,783.030303,252.3626263,702.2606061,369.6282828
76,207.9545455,238.1282828,598.2333333,1348.152525,680.7161616,193.8181818,784.0313131,254.7757576,696.910101,370.6292929
77,210.7616162,242.9191919,606.7515152,1345.757576,678.5464646,194.8333333,781.3919192,259.1626263,691.0252525,366.9838384
78,212.3434343,245.6969697,608.8232323,1350.535354,679.140404,195.3535354,778.3363636,260.6949495,689.1373737,360.8474747
79,213.4323232,246.5010101,603.8939394,1359.411111,682.3626263,193.3484848,777.9707071,258.989899,691.0909091,360.4585859
80,214.9767677,248.4838384,593.7363636,1365.19899,687.4131313,190.8444444,778.9121212,255.7161616,694.0606061,363.4030303
81,214.8626263,248.9838384,587.2464646,1367.541414,692.0393939,190.520202,779.9383838,255.1484848,694.6090909,363.2525253
82,214.3060606,246.2464646,583.5161616,1371.59899,690.6171717,191.8555556,779.1606061,256.5505051,694.3383838,363.1414141
83,213.3939394,242.9131313,578.4767677,1371.618182,684.1828283,192.9666667,778.2464646,257.5757576,694.4505051,364.8969697
84,213.3444444,241.4343434,578.1686869,1371.020202,685.2171717,193.6282828,776.2010101,256.1383838,697.8545455,366.6888889
85,213.269697,240.4242424,582.5787879,1365.835354,692.0252525,193.4212121,774.830303,253.0636364,700.8121212,366.3232323
86,214.7373737,241.6929293,584.6565657,1364.009091,694.8565657,192.0989899,779.7838384,251.0171717,699.9484848,364.5949495
87,217.6181818,243.4575758,582.7727273,1370.159596,692.4090909,191.1818182,787.8828283,249.7686869,697.9191919,366.3363636
88,222.6424242,245.2020202,582.0252525,1369.392929,690.8020202,191.6131313,793.8686869,250.7585859,697.2515152,367.2212121
89,226.4939394,246.7686869,579.7151515,1353.525253,687.6515152,192.1868687,799.6868687,252.720202,701.9030303,366.7373737
90,228.2139253,247.7356206,572.346115,1345.346115,680.2300706,192.3471241,803.3794147,254.235116,709.1271443,366.8385469
91,228.3118063,248.0040363,569.283552,1356.728557,678.1493441,192.0686176,807.950555,254.3218971,710.8587286,369.2310797
92,229.0161453,248.2875883,573.2573158,1366.502523,679.8193744,191.4843592,810.9303734,255.6589304,705.9081736,369.9737639
93,230.209889,249.2603431,579.4904137,1367.108981,685.4258325,193.0090817,813.5166498,257.6347124,705.7830474,370.0443996
94,230.9959637,250.6266398,586.5711403,1366.015136,689.6286579,194.4036327,812.926337,259.0131181,711.1897074,370.3007064
95,232.7951564,248.2452069,587.4248234,1365.06559,689.358224,194.2583249,815.19778,259.4520686,714.3693239,370.3430878
96,233.9485368,243.247225,583.0766902,1356.393542,687.9868819,192.7144299,817.3299697,258.5237134,712.6407669,370.0544904
97,234.9889001,238.6569122,576.3158426,1347.180626,693.7749748,192.5166498,816.8536831,258.9172553,709.2260343,369.5378406
98,235.1241171,237.5438951,571.3128153,1336.987891,694.3985873,193.9848638,813.962664,260.1765893,707.9495459,366.6781029
99,233.9687185,238.136226,573.3299697,1338.585267,690.6165489,194.7336024,811.0383451,261.3592331,708.370333,364.1967709
100,231.8213925,239.431887,577.1796165,1351.264379,689.259334,194.0131181,810.3269425,263.135217,708.370333,363.6518668
101,231.1059536,242.7225025,576.1836529,1358.565086,690.5105954,193.1271443,809.6276488,264.061554,707.9677094,364.7891019
102,233.4006054,242.7880928,570.4611504,1364.260343,686.0040363,191.9475277,808.431887,262.1059536,708.7891019,365.6427851
103,237.0070636,239.815338,564.8062563,1364.093845,680.8809284,192.1816347,803.5832492,260.3501514,710.5216953,364.2391524
104,244.2310797,237.5216953,558.3773966,1358.823411,679.1039354,194.0898083,799.4732593,261.764884,710.8405651,362.9455096
105,247.3693239,236.9455096,559.9273461,1351.657921,682.554995,194.5459132,797.70333,265.3844601,712.0877901,364.728557
106,244.9475277,236.2623613,565.3804238,1350.939455,690.1664985,194.6750757,792.7013118,267.9868819,714.9515641,366.8708375
