Distance_(microns),eve,engril,mlpt,hb,kr,gt,svb,cad,runt,odd
0,97.11111111111111,114.27777777777777,545.3888888888889,596.6666666666666,91.83333333333333,396.44444444444446,247.27777777777777,121.33333333333333,210.66666666666666,214.11111111111111
1,87.80952380952381,105.23809523809524,550.9047619047619,626.1428571428571,92.76190476190476,399.14285714285717,254.0,123.19047619047619,206.85714285714286,206.66666666666666
2,89.64102564102564,102.05128205128206,502.43589743589746,558.6923076923077,93.15384615384616,391.0,242.2051282051282,116.53846153846153,200.76923076923077,204.02564102564102
3,99.28169014084507,96.36619718309859,457.63380281690144,523.6619718309859,93.05633802816901,371.50704225352115,222.05633802816902,114.04225352112677,200.18309859154928,199.16901408450704
4,100.40860215053763,99.60215053763442,463.8279569892473,515.1827956989247,92.75268817204301,371.6666666666667,214.1720430107527,114.96774193548387,196.91397849462365,203.03225806451613
5,98.37623762376238,103.65346534653466,463.61386138613864,502.8217821782178,92.24752475247524,369.1485148514852,212.76237623762376,117.34653465346534,200.5148514851485,208.02970297029702
6,98.28971962616822,110.09345794392523,458.05607476635515,489.76635514018693,92.29906542056075,356.74766355140184,212.0373831775701,118.11214953271028,202.05607476635515,212.21495327102804
7,97.14782608695653,115.28695652173913,441.55652173913046,488.7304347826087,92.84347826086956,346.17391304347825,211.01739130434783,116.52173913043478,199.65217391304347,216.8695652173913
8,97.52,124.28,442.128,481.448,92.72,350.336,211.664,116.56,195.416,219.224
9,98.97014925373135,135.46268656716418,449.4029850746269,487.94029850746267,92.11194029850746,360.14925373134326,212.9179104477612,118.85074626865672,195.3955223880597,219.4402985074627
10,100.02068965517242,142.30344827586208,455.28275862068966,501.75172413793103,91.69655172413793,368.2896551724138,215.46206896551723,122.13793103448276,195.15172413793104,217.16551724137932
11,102.1923076923077,146.89102564102564,457.5705128205128,491.7371794871795,90.66666666666667,375.0,212.31410256410257,123.58333333333333,195.15384615384616,216.21794871794873
12,105.65454545454546,159.8060606060606,454.5939393939394,491.4848484848485,90.38181818181818,393.26666666666665,208.46666666666667,125.32727272727273,195.6,217.15757575757576
13,108.54285714285714,179.00571428571428,434.7314285714286,492.33142857142855,90.95428571428572,411.7657142857143,208.13142857142856,127.62857142857143,194.46857142857144,221.90285714285713
14,106.91935483870968,189.09677419354838,408.36559139784947,469.0752688172043,90.61290322580645,413.3817204301075,206.38172043010752,128.6290322580645,190.70430107526883,220.84408602150538
15,105.7897435897436,192.26666666666668,394.8102564102564,453.89230769230767,89.6923076923077,410.5948717948718,203.2871794871795,128.96410256410257,185.36410256410255,215.93846153846152
16,107.54146341463415,204.54146341463414,383.9219512195122,451.0390243902439,89.0390243902439,407.0439024390244,201.09268292682927,129.9170731707317,180.98048780487804,213.7170731707317
17,111.18867924528301,221.27358490566039,374.3301886792453,456.5518867924528,88.36792452830188,409.79245283018867,198.4009433962264,129.45283018867926,177.62264150943398,212.22169811320754
18,115.35514018691589,247.11682242990653,363.52803738317755,451.58878504672896,87.83177570093459,420.63084112149534,195.55140186915887,127.85981308411215,176.1355140186916,215.36915887850466
19,120.95433789954338,275.2146118721461,339.74429223744295,449.28767123287673,87.82648401826484,424.4337899543379,192.90867579908675,125.84474885844749,176.4931506849315,221.00913242009133
20,128.18099547511312,304.1990950226244,314.12669683257917,452.96380090497735,88.1945701357466,426.6877828054299,192.78733031674207,125.39819004524887,174.6787330316742,222.59276018099547
21,134.33035714285714,328.52232142857144,301.83035714285717,461.73660714285717,87.92410714285714,422.49107142857144,193.3125,124.48214285714286,172.66071428571428,224.15625
22,141.91666666666666,351.8859649122807,279.1578947368421,463.969298245614,88.08333333333333,419.4166666666667,193.44736842105263,123.19736842105263,172.71929824561403,229.53070175438597
23,150.70434782608694,385.02608695652174,261.4478260869565,459.0869565217391,88.22173913043478,416.53913043478263,194.32608695652175,122.4608695652174,173.21304347826086,240.26521739130436
24,156.1931330472103,413.9742489270386,250.76824034334763,448.08583690987126,88.33905579399142,415.94849785407723,191.48497854077254,121.06008583690988,173.6952789699571,247.08583690987123
25,158.15677966101694,431.7457627118644,240.5635593220339,464.85593220338984,88.83898305084746,420.9491525423729,187.95762711864407,120.66949152542372,177.385593220339,249.90254237288136
26,156.52941176470588,440.7647058823529,234.4327731092437,465.97899159663865,88.5798319327731,424.49159663865544,187.3655462184874,120.3529411764706,179.7983193277311,252.99159663865547
27,147.46186440677965,449.8220338983051,228.79661016949152,462.9957627118644,87.6822033898305,427.00847457627117,188.36016949152543,117.08898305084746,181.1864406779661,258.66101694915255
28,137.2478260869565,456.7304347826087,221.3695652173913,463.32173913043476,87.8391304347826,424.4217391304348,187.87391304347827,113.75652173913043,182.26521739130436,264.88260869565215
29,131.19196428571428,456.19642857142856,215.12946428571428,454.61607142857144,88.07589285714286,427.36607142857144,185.50446428571428,112.73214285714286,182.46875,265.6919642857143
30,127.0228310502283,437.041095890411,205.19634703196348,447.53881278538813,88.1324200913242,424.53881278538813,181.5205479452055,111.98173515981735,180.5159817351598,264.73972602739724
31,124.50462962962963,431.64351851851853,194.03703703703704,444.837962962963,87.76388888888889,424.85185185185185,179.27777777777777,111.51388888888889,177.82407407407408,264.9675925925926
32,122.96774193548387,451.44239631336404,192.55299539170508,434.33179723502303,87.27188940092167,432.93548387096774,178.02304147465438,109.73271889400921,177.78341013824885,265.33179723502303
33,122.68949771689498,472.95433789954336,187.9497716894977,428.1826484018265,87.46118721461187,432.16438356164383,178.00913242009133,107.89954337899543,178.23744292237444,266.1095890410959
34,122.36818181818182,482.8818181818182,184.25454545454545,426.0181818181818,87.4090909090909,413.84090909090907,177.27272727272728,107.53181818181818,180.64545454545456,264.2909090909091
35,120.67727272727272,485.4045454545454,187.3318181818182,423.1090909090909,87.68181818181819,407.9909090909091,173.88181818181818,108.85,181.77272727272728,260.0681818181818
36,119.8,487.0681818181818,181.20454545454547,414.5409090909091,88.66363636363636,406.7681818181818,172.8181818181818,110.22272727272727,182.55,256.4409090909091
37,118.67873303167421,487.7918552036199,178.51131221719456,404.90497737556564,88.63348416289593,397.7420814479638,172.15384615384616,110.00452488687783,182.0995475113122,256.7330316742081
38,116.81447963800905,492.89592760180994,182.92307692307693,398.6923076923077,87.37556561085972,387.79638009049773,172.36199095022624,109.35746606334841,180.3710407239819,258.9230769230769
39,116.23423423423424,485.2432432432432,179.22972972972974,395.77927927927925,86.96846846846847,390.7027027027027,171.50900900900902,110.08108108108108,179.34684684684686,255.56756756756758
40,113.25560538116592,466.82511210762334,181.34977578475338,389.95515695067263,86.87892376681614,400.7174887892377,170.0896860986547,112.75784753363229,179.3542600896861,248.61883408071748
41,113.32882882882883,448.13513513513516,185.36036036036037,384.22072072072075,87.72522522522523,411.9549549549549,169.74324324324326,113.22522522522523,180.63513513513513,244.15315315315314
42,113.5,448.990990990991,182.6936936936937,380.3243243243243,87.02252252252252,420.77027027027026,170.87387387387386,111.44594594594595,182.18018018018017,243.5855855855856
43,110.43693693693693,460.05405405405406,179.48648648648648,387.85135135135135,86.51801801801801,422.1666666666667,173.84684684684686,111.04954954954955,182.64414414414415,246.3918918918919
44,107.88340807174887,448.2511210762332,178.40358744394618,390.21973094170403,86.76681614349776,419.9013452914798,175.22869955156952,112.10762331838565,182.5829596412556,248.8878923766816
45,107.27927927927928,419.2882882882883,180.8108108108108,385.2927927927928,87.26126126126127,423.86036036036035,174.43693693693695,112.37387387387388,182.68018018018017,251.46846846846847
46,107.24324324324324,406.55405405405406,181.75675675675674,403.22972972972974,87.51801801801801,428.35585585585585,175.94144144144144,112.40990990990991,182.6216216216216,252.32882882882882
47,106.88789237668162,411.80717488789236,178.65919282511211,404.8968609865471,86.80717488789237,424.6188340807175,176.6457399103139,112.90134529147981,182.61883408071748,250.12107623318386
48,105.98654708520179,408.05829596412553,176.2914798206278,401.8161434977578,86.78026905829596,424.03139013452915,177.60089686098655,113.02242152466367,183.5919282511211,248.36322869955157
49,101.02232142857143,393.32589285714283,184.97321428571428,411.39285714285717,87.67410714285714,421.64732142857144,177.52678571428572,113.36607142857143,185.76785714285714,248.89285714285714
50,99.84375,377.54017857142856,181.41071428571428,418.7767857142857,87.86160714285714,419.78125,176.34821428571428,112.72767857142857,189.91517857142858,249.10267857142858
51,97.41777777777777,347.15555555555557,179.45333333333335,417.3066666666667,87.25777777777778,418.2088888888889,175.37333333333333,111.61333333333333,189.8,243.2577777777778
52,95.48444444444445,326.46222222222224,184.88888888888889,407.0133333333333,87.40444444444445,416.02666666666664,176.60444444444445,110.38222222222223,190.51555555555555,240.58666666666667
53,96.01333333333334,310.49333333333334,182.4711111111111,412.2311111111111,88.22666666666667,407.4,177.04888888888888,109.96444444444444,191.98222222222222,240.88
54,97.56444444444445,291.9377777777778,180.88,416.49333333333334,88.15555555555555,407.2577777777778,177.29333333333332,110.65777777777778,193.35111111111112,238.44444444444446
55,97.10176991150442,273.75221238938053,179.82743362831857,418.5265486725664,88.02212389380531,402.1637168141593,175.93362831858408,111.28761061946902,193.2433628318584,235.46017699115043
56,94.90707964601769,263.3805309734513,179.59734513274336,422.29646017699116,88.20353982300885,391.3185840707965,176.1946902654867,112.52654867256638,190.7566371681416,237.40265486725664
57,95.69911504424779,264.73893805309734,182.88053097345133,424.8495575221239,87.88938053097345,384.1194690265487,178.26548672566372,113.76548672566372,188.95575221238937,237.55752212389382
58,95.54824561403508,259.89912280701753,185.32456140350877,425.5263157894737,87.50877192982456,379.5175438596491,180.50438596491227,113.89912280701755,189.25,236.16666666666666
59,95.54385964912281,244.33771929824562,185.87719298245614,431.5570175438597,87.61842105263158,380.54824561403507,180.78508771929825,114.3201754385965,191.3815789473684,237.57894736842104
60,95.33333333333333,224.23245614035088,183.87280701754386,411.9868421052632,87.89473684210526,384.29824561403507,179.12719298245614,116.1359649122807,193.6578947368421,237.26754385964912
61,94.50877192982456,205.3640350877193,184.9298245614035,406.030701754386,88.44736842105263,385.39473684210526,179.66228070175438,117.33771929824562,196.24561403508773,234.00877192982455
62,95.05701754385964,189.12280701754386,187.06578947368422,410.7631578947368,88.41228070175438,380.719298245614,180.7280701754386,115.55701754385964,196.43859649122808,228.99122807017545
63,95.3640350877193,175.91666666666666,183.5482456140351,416.5263157894737,88.03947368421052,376.89473684210526,181.89473684210526,116.16666666666667,195.2982456140351,225.77631578947367
64,94.20175438596492,167.46491228070175,181.3815789473684,418.0701754385965,87.99561403508773,375.8157894736842,183.58333333333334,117.14473684210526,197.14912280701753,224.28947368421052
65,93.49779735682819,163.23348017621146,180.352422907489,417.25550660792953,87.98678414096916,375.55066079295153,185.27312775330395,116.12775330396475,198.14537444933922,224.92511013215858
