Distance_(microns),eve,en,mlpt,hb,kr,gt,svb,cad,runt,odd
0,90.1,96.9,322.5,812.5,427.5,289.6,126.4,181.9,184.8,483.8
1,104.35,108.9,312.6,752.45,443.0,333.35,141.65,173.8,168.2,467.75
2,115.07142857142857,143.96428571428572,272.9642857142857,756.6071428571429,506.2857142857143,311.32142857142856,137.64285714285714,166.53571428571428,166.5,464.10714285714283
3,132.8709677419355,150.96774193548387,238.7741935483871,767.8709677419355,523.2258064516129,291.5806451612903,135.16129032258064,162.16129032258064,174.74193548387098,450.61290322580646
4,147.27272727272728,136.27272727272728,217.36363636363637,706.6590909090909,478.8181818181818,275.72727272727275,127.68181818181819,147.1590909090909,168.8181818181818,408.1136363636364
5,158.05263157894737,136.89473684210526,197.08771929824562,696.8421052631579,454.12280701754383,281.8421052631579,126.17543859649123,155.3684210526316,160.2280701754386,407.35087719298247
6,171.17910447761193,153.97014925373134,200.8955223880597,724.4626865671642,429.1194029850746,306.910447761194,125.01492537313433,161.38805970149255,159.47761194029852,411.94029850746267
7,172.98823529411766,142.12941176470588,225.3294117647059,721.4470588235295,425.3529411764706,325.3764705882353,133.24705882352941,167.49411764705883,169.95294117647057,421.8
8,167.72340425531914,155.63829787234042,216.56382978723406,706.1808510638298,415.32978723404256,336.22340425531917,132.96808510638297,170.7127659574468,169.6595744680851,438.8191489361702
9,163.22222222222223,170.74074074074073,209.89814814814815,674.0833333333334,444.69444444444446,342.75925925925924,135.62037037037038,177.96296296296296,169.87962962962962,443.24074074074076
10,156.15702479338842,167.71074380165288,205.5785123966942,646.4462809917355,438.297520661157,370.6198347107438,134.01652892561984,178.69421487603304,172.76859504132233,438.8512396694215
11,158.748031496063,180.95275590551182,192.48031496062993,648.007874015748,441.8582677165354,371.34645669291336,133.04724409448818,173.45669291338584,168.93700787401573,442.0
12,162.3203125,188.2421875,178.5546875,638.765625,448.953125,386.6171875,135.078125,165.9453125,168.4453125,454.09375
13,159.3515625,186.9609375,166.359375,610.5078125,448.5234375,398.2890625,133.4140625,161.5625,170.40625,463.453125
14,149.48062015503876,179.06976744186048,155.7751937984496,610.046511627907,431.07751937984494,424.8837209302326,136.2093023255814,159.2325581395349,171.52713178294573,466.14728682170545
15,147.7751937984496,181.50387596899225,148.65891472868216,618.0542635658915,411.3178294573643,447.15503875968994,137.88372093023256,154.09302325581396,173.42635658914728,467.6279069767442
