Distance_(microns),eve,engril,mlpt,hb,kr,gt,svb,cad,runt,odd
0,128.4081633,188.7346939,476.7755102,562.5306122,545.5816327,557.744898,303,185.5918367,472.8061224,319.7244898
1,125.2844037,216.5963303,463.0917431,533.1376147,530.8899083,553.9908257,316.2752294,188.0733945,483.587156,321.2018349
2,126.6721311,243.1803279,466.4262295,526.1885246,526.647541,558.8688525,313.6147541,187.9590164,481.9508197,337.9262295
3,126.9850746,271.4552239,466.4626866,556.3507463,547.380597,559.5820896,310.3880597,187.261194,475.0074627,339.9328358
4,125.9571429,305.5857143,461.5571429,572.8714286,546.5642857,565.0071429,305.3642857,182.0357143,468.7857143,325.2428571
5,128,305.9280576,453.0791367,589.3093525,536.0215827,565.2374101,299.6546763,181.5899281,460.3309353,318.3381295
6,129.5323741,307.2158273,456.5035971,589.7194245,530.9568345,552.4532374,295.7625899,188.0359712,452.3741007,314.7913669
7,130.9782609,322.3550725,463.5652174,593.2536232,535.326087,533.1666667,286.326087,193.4347826,466.8913043,315.0434783
8,130.4890511,349.9781022,462.270073,594.0583942,533.8613139,534.729927,282.9927007,193.6934307,471.5182482,321.6569343
9,129.0073529,385.3676471,454.6691176,570.0073529,532.4558824,559.375,290.9705882,195.8382353,467.3308824,331.3235294
10,127.8088235,386.3529412,444.1397059,550.5661765,535.0808824,579.6691176,294.8308824,192.5955882,460.2352941,325.7720588
11,126.8444444,387.7925926,424.2962963,586.0962963,526.7851852,574.1555556,295.562963,186.9925926,452.0148148,319.7259259
12,125.858209,394.9850746,411.3880597,605.9925373,510.9701493,564.9179104,292.7238806,189.6791045,455.0149254,326.858209
13,123.0746269,402.8208955,408.7761194,597.7313433,514.5373134,564.6343284,288.4104478,190.3656716,461.4253731,330.5671642
14,119.8045113,416.0676692,400.4360902,593.5488722,525.1578947,562.0526316,281.0676692,188.6090226,472.0451128,332.0902256
15,125.0152672,405.0763359,383.0534351,570.8854962,523.1068702,550.5496183,276.7862595,189.0152672,477.389313,324.3435115
16,130.8230769,394.8615385,386.6384615,522.3846154,529.2461538,564.6384615,275.7769231,188.7230769,479.1538462,315.5538462
17,128.8846154,398.8076923,387.5692308,501.6769231,542.3076923,594.7769231,280.1846154,189.6846154,469.8153846,325.5384615
18,126.5426357,387.0155039,372.8372093,519.1317829,557.4186047,597.7596899,281.1705426,192.0077519,465.4728682,335.8372093
19,123.4140625,355.6953125,374.8515625,516.4765625,557.3046875,582.1953125,281.140625,191.671875,469.734375,344.6484375
20,129.5546875,344.90625,384.734375,522.265625,549.0078125,565.34375,300.046875,190.8671875,458.5703125,334.265625
21,136.625,332.390625,376.1875,577.8515625,545.4609375,560.9296875,311,193.609375,440.765625,317.1328125
22,136.1181102,297.4330709,375.0393701,617.4330709,530.976378,573.0551181,297.7637795,190.4645669,461.1181102,317.1811024
23,134.7936508,283.6190476,394.7619048,627.1746032,525.0555556,578.6904762,285.968254,184.0873016,478.031746,321.4126984
24,131.6904762,298.1984127,392.7222222,648.547619,538.7063492,578.0079365,286.0873016,185.3730159,482.7698413,334.1984127
25,135.672,294.52,377.672,682.616,549.072,588.6,289.344,188.984,483.984,336.448
26,141.9193548,287.9354839,379.9596774,675.6451613,554.2903226,606.3145161,293.1693548,191.6209677,485.7096774,335.7419355
27,141.7235772,288.8373984,385.7886179,649.6178862,555.0731707,611.699187,293.1382114,192.195122,488.1382114,343.902439
28,139.4354839,286.8387097,406.3225806,648.5403226,568.4354839,594.6209677,294.4435484,187.9274194,489.1532258,348.9758065
29,134.6693548,272.3387097,414.6532258,652.6048387,583.0725806,580.8306452,299.7741935,185.0645161,486.8467742,348.1370968
30,134.1209677,260.6532258,398.1774194,664.7903226,579.0080645,581.733871,304.6612903,186.9919355,490.2741935,347.2016129
31,135.2016129,250.0645161,386.4919355,651.4193548,578.6935484,601.5080645,313.8145161,188.8951613,499.7177419,346.2016129
32,130.672,246.064,385.472,607.32,588.224,620.904,319.368,192.728,483.832,338.768
33,127.816,243.752,382.696,597.176,593.736,607.24,315.088,193.872,469.536,330.344
