Distance_(microns),eve,en,mlpt,hb,kr,gt,svb,cad,runt,odd
0,200.1260504,242.9439776,392.9187675,1011.971989,783.964986,280.2492997,577.3585434,269.0210084,820.8571429,367.162465
1,199.022409,241.9971989,396.5630252,1015.908964,783.8403361,279.7689076,575.1288515,270.4187675,824.4705882,368.7142857
2,201.5552448,241.6377622,398.0195804,1018.464336,779.4265734,278.9090909,571.9692308,273.6251748,823.8335664,370.9552448
3,205.6517483,241.3384615,406.7678322,985.1958042,777.5174825,277.8769231,569.7412587,278.4433566,825.4195804,370.7356643
4,207.1258741,240.1468531,418.4853147,985.5524476,778.5328671,277.4755245,565.4475524,276.6545455,820.4097902,365.1482517
5,205.1132867,239.1664336,424.193007,1013.981818,781.020979,277.4167832,572.3342657,271.4,816.4237762,361.6755245
6,203.0951049,240.1216783,431.820979,1021.420979,781.2195804,277.6307692,574.5636364,271.7972028,816.2811189,361.0909091
7,205.3804196,240.7552448,439.2685315,996.9384615,780.048951,277.8713287,575.1370629,279.8755245,821.5286713,360.0167832
8,209.5244755,241.2559441,438.806993,975.4825175,779.6867133,277.8307692,576.372028,284.7398601,819.7188811,358.165035
9,209.7034965,239.6391608,436.0825175,988.8391608,781.3902098,279.048951,569.7524476,279.7832168,818.6475524,357.3440559
10,207.8181818,237.4587413,438.4839161,1013.328671,779.958042,278.9286713,567.9846154,273.2223776,819.8097902,360.2769231
11,204.0125874,236.8265734,434.8377622,1034.239161,775.041958,278.9356643,573.9244755,271.7804196,812.9944056,362.820979
12,203.4293706,237.7328671,436.8153846,1051.194406,774.8433566,278.1230769,581.1328671,273.1174825,809.3398601,365.0867133
13,204.8363636,237.2321678,435.7846154,1071.521678,774.9846154,277.5048951,579.6993007,270.9622378,812.5762238,366.7090909
14,204.5706294,236.2125874,438.1314685,1080.381818,774.0629371,278.6755245,577.5202797,272.5258741,813.5818182,369.3244755
15,204.220979,235.7202797,439.6573427,1088.075524,772.758042,280.4839161,580.6237762,273.9104895,810.420979,367.9678322
16,205.2335664,236.0265734,438.0097902,1093.847552,772.5090909,283.1272727,583.2713287,271.6713287,805.027972,367.4503497
17,205.4447552,235.7076923,431.6923077,1068.283916,779.8923077,282.5398601,576.5804196,276.1622378,802.7370629,368.5454545
18,205.0699301,235.0685315,423.6237762,1021.742657,782.1244755,279.3608392,577.5146853,282.6615385,804.5888112,369.4153846
19,205.441958,234.5748252,426.0937063,995.7706294,773.0223776,279.0055944,578.9664336,283.1748252,806.8755245,368.1972028
20,208.027972,234.9118881,424.986014,996.5958042,769.8251748,279.6223776,576.3398601,281.2867133,808.3454545,363.4
21,210.7902098,235.5034965,419.1314685,1003.411189,767.2853147,277.1384615,574.9888112,282.5832168,807.6125874,361.8083916
22,211.6461538,236.1146853,416.4433566,1007.454545,767.9020979,277.3874126,573.0727273,285.9986014,808.241958,362.9972028
23,208.9006993,236.7762238,416.172028,1027.48951,770.6713287,280.0769231,577.1888112,283.5034965,806.9972028,364.3734266
24,204.7916084,236.1300699,412.9524476,1031.029371,770.3608392,279.8251748,575.9692308,276.4573427,806.0699301,364.4755245
25,203.8979021,233.5244755,403.020979,1021.683916,767.3048951,279.4531469,573.9244755,273.0307692,810.413986,362.1832168
26,206.1090909,231.2083916,399.5846154,1013.095105,771.9958042,278.9412587,571.6391608,280.0965035,814.1594406,357.358042
27,208.9216783,231.9846154,402.0559441,1008.201399,781.0055944,275.4755245,576.241958,282.0405594,813.8307692,354.7552448
28,210.5412587,234.7076923,411.0097902,1009.727273,783.8993007,274.4391608,581.2923077,278.4195804,815.413986,357.2405594
29,211.2923077,235.9244755,419.0797203,1034.6,781.0391608,276.551049,582.4685315,274.413986,815.5020979,358.9692308
30,213.9566434,236.5874126,420.5258741,1052.959441,775.4041958,276.3468531,585.0083916,277.3188811,814.0391608,359.3020979
31,217.4181818,237.8111888,415.7664336,1068.365035,772.7020979,275.365035,589.2867133,285.4769231,814.7524476,358.8461538
32,219.579021,240.1370629,411.2601399,1093.022378,771.2839161,278.1986014,591.972028,286.4713287,815.3902098,361.5902098
33,220.2153846,243.4685315,411.4783217,1107.951049,767.7944056,277.1538462,587.3678322,285.848951,814.7146853,364.3356643
34,220.6699301,245.5986014,413.3104895,1102.745455,767.0979021,274.4167832,580.2881119,288.4839161,813.4769231,364.3132867
35,221.4167832,245.2223776,413.0405594,1097.264336,770.0755245,274.8475524,576.3258741,294.8811189,813.4741259,363.772028
36,222.6335664,243.593007,421.7286713,1080.013986,775.379021,276.8,578.5566434,300.641958,812.2825175,364.2237762
37,224.6671329,242.2979021,424.2517483,1067.486713,780.4587413,278.5496503,583.9048951,300.0461538,810.9986014,362.4615385
38,227.1188811,241.5552448,422.3832168,1060.962238,775.034965,277.565035,583.3146853,293.3006993,810.1706294,359.620979
39,227.7034965,240.6895105,418.3622378,1079.458741,773.848951,275.4615385,580.4223776,283.3412587,812.8909091,360.3552448
40,226.7244755,239.8433566,405.2811189,1097.902098,773.1762238,274.9608392,576.7986014,278.648951,814.0965035,365.3538462
41,224.2167832,240.0321678,401.9594406,1091.878322,776.6475524,275.351049,574.8937063,279.4699301,812.441958,368.0041958
42,221.2685315,240.2027972,417.9888112,1086.711888,782.6517483,277.7986014,577.5846154,281.0713287,810.5888112,368.1076923
43,219.8461538,240.4461538,427.1888112,1094.829371,786.2251748,278.3538462,577.0181818,282.9048951,809.7314685,366.8853147
44,222.4447552,241.1524476,425.4601399,1098.264336,784.6783217,277.6027972,572.5664336,287.2461538,809.1734266,367.1566434
45,226.4293706,241.3440559,426.5076923,1087.781818,781.4825175,277.5902098,570.9664336,290.7076923,804.0797203,367.4293706
46,227.6643357,240.1132867,415.5902098,1093.201399,780.1734266,274.441958,576.0713287,292.1258741,803.0013986,366.3258741
47,224.9916084,237.2391608,400.0671329,1104.292308,785.2699301,274.6825175,580.6307692,295.358042,805.9818182,363.1482517
48,225.6881119,235.4055944,397.0195804,1105.341259,789.0783217,277.2951049,583.5076923,298.3818182,807.6433566,360.758042
49,230.5524476,236.3188811,395.1748252,1105.834965,788.9244755,278.2083916,590.6321678,298.6111888,813.6531469,359.8629371
50,235.3216783,238.1342657,394.5230769,1096.362238,787.7468531,278.1174825,589.0503497,296.4461538,817.3188811,358.2531469
51,236.158042,237.8895105,397.3258741,1083.99021,786.5020979,277.8629371,585.4055944,296.3468531,814.9888112,358.8307692
52,234.0923077,235.9748252,394.7944056,1037.742657,788.9104895,280.2783217,582.6321678,296.8027972,813.2727273,363.1286713
53,230.9608392,235.7398601,396.1916084,1023.744056,785.9552448,281.2377622,582.0993007,297.8895105,816.4825175,366.9804196
