Distance_(microns),eve,en,mlpt,hb,kr,gt,svb,cad,runt,odd
0,245.34,142.6,204.82,240.18,175.86,268.44,98.34,100.56,160.72,742.36
1,229.34615384615384,145.25,206.71153846153845,249.94230769230768,179.15384615384616,271.0,97.28846153846153,103.0576923076923,162.05769230769232,781.2884615384615
2,214.6,153.6727272727273,208.47272727272727,258.5090909090909,175.72727272727272,274.45454545454544,95.98181818181818,97.52727272727273,166.01818181818183,785.1090909090909
3,203.56140350877192,159.8421052631579,203.9298245614035,250.2280701754386,173.43859649122808,280.2280701754386,94.82456140350877,97.64912280701755,169.9298245614035,772.2631578947369
4,218.86666666666667,150.7,207.45,256.9166666666667,171.98333333333332,277.7,97.3,100.46666666666667,169.58333333333334,762.9333333333333
5,232.1451612903226,133.3548387096774,207.8709677419355,267.6774193548387,173.67741935483872,281.43548387096774,96.6774193548387,98.03225806451613,175.80645161290323,765.3709677419355
6,223.53968253968253,123.71428571428571,209.57142857142858,266.1746031746032,178.17460317460316,287.44444444444446,97.88888888888889,99.42857142857143,180.31746031746033,756.4761904761905
7,214.22058823529412,125.38235294117646,211.73529411764707,255.60294117647058,182.25,287.79411764705884,97.75,102.23529411764706,180.66176470588235,736.3823529411765
8,232.12048192771084,122.40963855421687,220.0843373493976,257.13253012048193,188.26506024096386,306.09638554216866,98.79518072289157,104.80722891566265,185.13253012048193,716.1927710843373
9,233.0681818181818,118.77272727272727,221.8181818181818,263.47727272727275,186.9431818181818,309.5681818181818,100.68181818181819,106.4659090909091,198.25,706.1136363636364
10,243.1978021978022,119.63736263736264,222.86813186813185,278.05494505494505,184.95604395604394,305.4945054945055,102.3076923076923,104.0,206.06593406593407,713.4835164835165
11,238.05208333333334,120.44791666666667,223.42708333333334,285.6875,188.375,308.4895833333333,101.125,105.09375,198.39583333333334,709.0520833333334
12,236.8989898989899,120.33333333333333,230.59595959595958,287.85858585858585,188.32323232323233,310.16161616161617,100.86868686868686,108.52525252525253,196.4949494949495,715.9090909090909
13,231.5631067961165,121.81553398058253,236.8252427184466,282.873786407767,185.88349514563106,307.3203883495146,101.48543689320388,109.9126213592233,201.75728155339806,738.2621359223301
14,225.78301886792454,123.05660377358491,244.17924528301887,285.0377358490566,186.38679245283018,295.85849056603774,105.24528301886792,108.06603773584905,209.04716981132074,745.0849056603773
15,218.53636363636363,120.9090909090909,244.3,301.7818181818182,192.3090909090909,295.6272727272727,103.08181818181818,108.50909090909092,222.83636363636364,754.1
16,220.26548672566372,123.58407079646018,240.06194690265488,312.1061946902655,194.75221238938053,300.716814159292,104.40707964601769,111.2566371681416,231.43362831858408,762.787610619469
17,223.68965517241378,138.30172413793105,236.18103448275863,310.86206896551727,194.39655172413794,312.4741379310345,103.62931034482759,114.22413793103448,237.0344827586207,779.448275862069
18,223.45833333333334,144.65,233.85,314.34166666666664,195.8,320.4583333333333,102.9,112.78333333333333,240.06666666666666,778.4416666666667
19,216.3790322580645,137.3709677419355,232.29032258064515,315.46774193548384,198.7983870967742,322.4758064516129,105.45967741935483,111.12096774193549,251.41129032258064,786.0887096774194
20,209.30708661417322,136.8503937007874,231.66929133858267,315.68503937007875,199.66929133858267,320.3543307086614,102.48031496062993,109.50393700787401,254.33858267716536,792.9685039370079
21,211.26923076923077,138.01538461538462,229.6846153846154,313.5923076923077,200.73846153846154,322.67692307692306,104.06153846153846,109.16153846153846,253.56153846153848,793.6923076923077
22,226.63970588235293,129.93382352941177,230.375,307.49264705882354,202.8308823529412,327.19117647058823,104.33823529411765,109.13235294117646,265.59558823529414,800.8897058823529
23,246.36690647482015,136.8705035971223,231.6546762589928,314.84892086330933,206.89208633093526,328.40287769784175,103.5179856115108,112.5179856115108,275.62589928057554,796.136690647482
24,248.65753424657535,146.3082191780822,231.8972602739726,324.5890410958904,207.07534246575344,329.8150684931507,102.41780821917808,111.56849315068493,283.56164383561645,789.1643835616438
25,241.6225165562914,150.97350993377484,232.23841059602648,329.94701986754967,208.33774834437085,325.12582781456956,102.9271523178808,111.9205298013245,295.7549668874172,787.8079470198676
26,230.90967741935484,148.43870967741935,231.15483870967742,335.36129032258066,212.30322580645162,315.4193548387097,103.63870967741936,113.2516129032258,322.6,781.8322580645162
27,224.5125,146.725,230.81875,345.40625,211.36875,305.9,104.3875,113.45,336.725,781.1125
28,233.4268292682927,153.46951219512195,231.1341463414634,354.4390243902439,206.96341463414635,303.2256097560976,105.0609756097561,113.14024390243902,342.7073170731707,788.2073170731708
29,243.25,159.97619047619048,229.8154761904762,368.9404761904762,207.98214285714286,301.4702380952381,106.72619047619048,115.33928571428571,347.3511904761905,795.7738095238095
30,247.33526011560693,167.80346820809248,229.92485549132948,395.73988439306356,209.9479768786127,306.59537572254334,106.17341040462428,115.95953757225433,372.0982658959538,805.5260115606936
31,246.64772727272728,163.66477272727272,231.19886363636363,429.22727272727275,206.28977272727272,324.2443181818182,105.44318181818181,115.43181818181819,412.71022727272725,812.25
32,259.53333333333336,144.10555555555555,232.26111111111112,437.8722222222222,205.15555555555557,333.27777777777777,105.4,117.39444444444445,457.94444444444446,815.9166666666666
33,274.42391304347825,137.28804347826087,233.30978260869566,442.0326086956522,205.1413043478261,334.3695652173913,105.47826086956522,118.03804347826087,495.0108695652174,815.4836956521739
