Distance_(microns),eve,engril,mlpt,hb,kr,gt,svb,cad,runt,odd
0,171.85714285714286,147.42857142857142,409.85714285714283,584.4285714285714,112.28571428571429,339.14285714285717,596.5714285714286,155.42857142857142,214.71428571428572,184.71428571428572
1,209.56,126.64,437.36,532.12,107.28,301.96,520.48,143.56,202.92,196.44
2,173.06896551724137,131.44827586206895,438.2413793103448,534.5172413793103,112.72413793103448,306.82758620689657,493.1034482758621,151.93103448275863,204.06896551724137,192.27586206896552
3,191.57575757575756,127.48484848484848,455.2121212121212,527.4848484848485,117.24242424242425,315.8181818181818,483.3939393939394,141.33333333333334,205.36363636363637,182.63636363636363
4,213.64864864864865,123.62162162162163,468.43243243243245,487.4054054054054,114.29729729729729,341.6216216216216,475.13513513513516,133.0810810810811,213.72972972972974,176.45945945945945
5,210.26829268292684,123.95121951219512,472.2439024390244,447.9024390243902,110.02439024390245,363.0731707317073,448.8048780487805,135.97560975609755,219.390243902439,179.58536585365854
6,222.76,127.54,491.1,448.08,107.76,368.46,443.82,140.24,212.94,182.76
7,228.80701754385964,132.71929824561403,491.2631578947368,450.140350877193,108.82456140350877,352.140350877193,468.6842105263158,135.59649122807016,216.78947368421052,184.50877192982455
8,214.83870967741936,131.51612903225808,478.7903225806452,435.11290322580646,110.98387096774194,354.93548387096774,464.7903225806452,141.20967741935485,224.80645161290323,186.74193548387098
9,212.1044776119403,127.6268656716418,470.2089552238806,426.0,114.74626865671642,361.3880597014925,447.2835820895522,145.88059701492537,226.17910447761193,192.43283582089552
10,208.94520547945206,123.8082191780822,475.5890410958904,423.2328767123288,114.94520547945206,369.90410958904107,425.83561643835617,149.16438356164383,221.46575342465752,201.3972602739726
11,211.74358974358975,122.85897435897436,491.0128205128205,430.02564102564105,113.28205128205128,378.78205128205127,421.1025641025641,151.80769230769232,217.46153846153845,202.02564102564102
12,207.44827586206895,124.70114942528735,506.9655172413793,441.3103448275862,110.73563218390805,391.6551724137931,436.58620689655174,151.70114942528735,215.3793103448276,197.7471264367816
13,210.68316831683168,130.13861386138615,503.6930693069307,435.2475247524753,109.53465346534654,403.36633663366337,440.980198019802,151.15841584158414,209.5148514851485,196.65346534653466
14,218.15929203539824,129.53097345132744,503.56637168141594,428.04424778761063,113.61946902654867,409.20353982300884,429.9646017699115,152.68141592920355,210.0,199.41592920353983
