Distance_(microns),eve,engril,mlpt,hb,kr,gt,svb,cad,runt,odd
0,105.3055556,83.69444444,359.2777778,224.2777778,254.4166667,306.0694444,205.9583333,167.9027778,279.8055556,265.5972222
1,105.3055556,83.69444444,359.2777778,224.2777778,254.4166667,306.0694444,205.9583333,167.9027778,279.8055556,265.5972222
2,131.6111111,107.8194444,447.7638889,272.6527778,315.5833333,397.7638889,256.9027778,202.3055556,358.9583333,330.7083333
3,132.8333333,118.7916667,441.4027778,267.1388889,311.75,394.7361111,253.7361111,193.1666667,364.1527778,338.4027778
4,127.8815789,124.8815789,401.4736842,250.3026316,306.0657895,369.6842105,246.3684211,182.4210526,342.8026316,337.8552632
5,110.7764706,127.0119048,363.8235294,238.2588235,298.8470588,346.6588235,237.7529412,171.4352941,308.7411765,311.9882353
6,118.297619,149.2738095,412.0952381,281.7619048,340.0714286,387.3095238,272.6666667,199.0119048,345.7619048,346.8928571
7,125.6521739,155.0326087,412.076087,280.1086957,325.6086957,380.6195652,267.826087,199.6304348,356.2717391,360.8478261
8,125.5049505,155.5940594,399.2178218,273.7821782,318.6237624,368.0891089,257.8811881,188.5049505,354.6831683,360.6336634
9,124.4454545,163.7818182,395.2545455,271.1727273,302.1181818,359.5181818,256.1272727,192.4363636,342.7272727,342.5636364
10,125.3613445,178.9495798,391.7058824,274.7647059,292.3109244,359.6722689,257.3613445,200.3697479,327.6890756,329.8907563
11,123.1705426,194.0775194,385.3100775,278.3410853,299.4728682,361.1085271,259.3410853,196.7751938,321.3565891,326.0465116
12,123.8029197,212.6569343,384.8321168,285.7445255,307.2408759,365.8029197,265.2335766,197.5182482,325.8759124,341.0729927
13,124.7062937,219.7972028,378.2937063,294.1328671,301.2307692,362.7062937,268.6013986,199.8461538,326.8811189,361.5174825
14,125.5410959,232.0890411,372.9863014,332.1027397,311.9863014,370.8219178,277.0410959,209.9794521,342.5342466,378.6712329
15,126.1866667,238.78,354.7733333,356.12,312.2866667,373.5933333,279.28,209.8466667,343.94,370.56
16,128.4503311,251.4635762,346.205298,362.2715232,311.2251656,378.0198675,283.4569536,215.1192053,351.5298013,357.1125828
17,129.6907895,272.0065789,350.2105263,353.7368421,310.3421053,383.5986842,282.7368421,218.9934211,360.4078947,348.3947368
18,131.0131579,299.9605263,363.0394737,349.375,309.125,386.1578947,280.0328947,219.7828947,363.8486842,341.9868421
19,136.9738562,321.9673203,371.2352941,346.7647059,303.2222222,391.7385621,278.7581699,217.7777778,359.4183007,337.8300654
20,141.0457516,343.124183,376.0588235,342.7320261,301.3267974,399.7647059,281.1830065,216.0980392,355.7189542,345.3071895
21,138.7922078,346.8441558,373.9805195,344.7597403,311.7337662,394.5649351,281.961039,212.2207792,351.9285714,353.9935065
22,140.4064516,345.3354839,372.1870968,344.9677419,317.8967742,391.1935484,283.8645161,209.3741935,351.0064516,354.9290323
