Distance_(microns),eve,engril,mlpt,hb,kr,gt,svb,cad,runt,odd
0,335.75,134.7,250.6,274.2,206.3,306.75,280.5,208.55,362.25,303.2
1,304.64,141.56,291.08,285.28,209.12,308.8,288.04,194.56,345.88,326.96
2,273.5333333,128.3666667,289.9666667,309.6666667,199.8333333,302.5,268.7666667,190.8666667,302.9,339.6666667
3,216.3157895,109,249.8684211,319.1052632,178.6315789,261.5526316,244.8421053,176.6052632,268,310.7105263
4,163.2982456,96.05263158,243.0350877,350.9473684,190.4385965,266.9298246,253.6315789,169.2105263,289.1403509,308.4912281
5,172.6551724,122.0344828,291.1206897,446.5172414,238.9310345,334.8793103,296.6896552,206.7586207,354.3793103,383.0172414
6,165,133.5,295.0172414,455.862069,222.2068966,339.5689655,289.137931,214.0344828,343.9310345,382.0344828
7,161.1525424,135.8813559,294.4067797,463.4915254,209.8983051,331.440678,279.6610169,213.8305085,330.9491525,384.4915254
8,158.9482759,158.6551724,295.637931,486.3275862,209.5172414,334.0172414,285.5862069,218.8103448,351.7413793,403.9655172
9,149.1403509,194.4912281,290.7931034,472.5517241,209.2758621,328.862069,290.4482759,215.6896552,361.5344828,401.3793103
10,124.8307692,192.1692308,268.6615385,419.4,203.7076923,301.2,272.5538462,190.9076923,322.3692308,360.5230769
11,129.7681159,211.4057971,292.4492754,457.6956522,218.0869565,326.2318841,295.173913,194.884058,332.3623188,383.8695652
12,123,210.7222222,302.7222222,456.1388889,201.2638889,324.8194444,289.1111111,190.4861111,340.4861111,377.2916667
13,108.4337349,195.373494,280.5903614,405.6144578,176.9759036,307.8674699,257.2891566,170.8072289,323.373494,350.5301205
14,104.4285714,193.9693878,259.9081633,380.8571429,175.9387755,306.1734694,238.6734694,159.755102,309.377551,339.5612245
15,105.5078125,195.84375,264.0390625,397.7890625,178.3984375,309.71875,237.125,160.3359375,304.703125,350.828125
16,113.6478873,225.8450704,290.5422535,442.971831,191.584507,338.9507042,250.5,170.6901408,323.5492958,372.2042254
17,114.2360248,223.2546584,302.2484472,437.4906832,192.7018634,326.9689441,257.826087,169.0248447,324.484472,370.1304348
18,119.9259259,247.6234568,330.5987654,434.7901235,198.5246914,330.617284,276.3024691,177.4259259,341.8333333,384.7777778
19,116.6296296,289.2716049,325.6728395,417,197.7469136,328.9753086,273.1975309,172.6790123,334.9135802,382.4444444
20,120.29375,323.26875,315.05625,416.65625,203.3125,332.4,274.9625,174.7625,339.41875,395.5
21,123.2875,326.15,301.19375,418.99375,207.90625,328.35625,274.14375,176.7625,341.15625,399.85625
22,121.20625,333.15,296.775,429.925,208.675,324.70625,274.3125,177.5875,341.74375,397.4875
23,122.15625,361.30625,298.85625,440.7625,201.88125,318.025,273.5875,177.19375,346.475,395.39375
24,124.44375,391.70625,293.40625,440.5625,202.74375,310.2875,272.21875,175.5375,357.1125,398.54375
25,124.7658228,426.9240506,285.9810127,434.6139241,206.6518987,307.3481013,277.6582278,174.5822785,360.0063291,405.6518987
26,126.3396226,466.6415094,282.0125786,432.4716981,201.9559748,302.2515723,278.3459119,172.6226415,349.9056604,402.3522013
27,127.6962025,490.6898734,285.7848101,449.1075949,202.0126582,306.2341772,278.278481,174.7974684,350.8101266,410.3037975
28,125.7961783,513.0764331,284.0254777,455.6496815,203.5095541,311.2038217,276.4649682,176.2292994,356.7961783,415.5859873
29,126.0696203,530.5822785,274.5063291,438.0632911,198,309.4936709,273.9493671,176.1012658,354.3101266,406.1708861
30,128.8853503,528.3630573,271.0509554,418.2420382,194.4522293,309.1910828,276.3121019,176.522293,349.910828,398.8598726
31,137.224359,543.1666667,274.0641026,399.1217949,200.6346154,311.1794872,279.5705128,176.3141026,357.3525641,400.9871795
32,138.9363057,556.6751592,269.8407643,387.089172,202.9426752,307.3248408,278.8343949,174.8280255,367.2675159,405.8980892
33,138.1677419,579.6580645,265.5096774,385.5548387,201.3870968,304.7548387,279.6322581,176.7290323,372.0193548,403.0774194
34,134.4709677,610.8,264.0967742,373.9806452,197.7419355,307.8129032,279.8709677,178.283871,365.2258065,394.2709677
35,126.6688312,639.025974,262.6493506,366.8376623,197.7857143,315.5064935,288.1558442,180.5584416,365.2597403,391.8246753
36,122.6883117,644.2077922,258.9935065,365.0714286,197.3766234,312.6818182,292.6298701,181.9025974,372.2922078,391.3116883
37,121.0519481,658.538961,256.4285714,366.8246753,199.4090909,302.9285714,289.3571429,181.9155844,372.3246753,393.9415584
38,122.9084967,655.8235294,259.8235294,377.7058824,200.4183007,299.3137255,291.3464052,182.4836601,370.5228758,406.1568627
39,127.6013072,642.6928105,269.0980392,385.8954248,201.3006536,299.8627451,294.7712418,182.2418301,373.379085,419.8431373
40,132.038961,609.038961,275.4415584,382.4220779,210.3701299,296.0844156,294.3766234,179.6493506,378.6818182,428.3376623
41,137.0588235,586.124183,273.1830065,373.5424837,220.1111111,292.1764706,296.0326797,178.5294118,381.4313725,443.503268
