Distance_(microns),eve,engril,mlpt,hb,kr,gt,svb,cad,runt,odd
0,150.9659864,408.8163265,289.5510204,696.3537415,290.8571429,606.8639456,327.1088435,165.5714286,274.6870748,327.8911565
1,152.7876712,478.5205479,297.1986301,712.4657534,296.5578231,636.0136054,336.0544218,168.6712329,282.1780822,340.8095238
2,157.1586207,537.6206897,298.8551724,711.5034483,297.0689655,636.1655172,342.5241379,169.462069,283.4689655,352.3931034
3,159.7083333,617.8263889,303.8333333,712.7430556,296.8068966,621.0758621,343.862069,172.2013889,284.7241379,352.2896552
4,157.1527778,703.875,305.0902778,701.1527778,300.7847222,623,349.1041667,175.2013889,285.0416667,352.6041667
5,156.4965035,777.6527778,303.8888889,704.5314685,298.6666667,625.6944444,351.3819444,173.6805556,278.5416667,353.2569444
6,154.3566434,802.7342657,306.7482517,720.6083916,297.6013986,622.0839161,348.8671329,170.5524476,272.5594406,355.5524476
7,155.8450704,820.943662,312.7183099,737.7042254,298.028169,613.971831,346.9084507,170.3802817,271.5422535,355.0985915
8,154.7042254,867.8169014,312.3521127,726.6478873,297.6901408,608.6056338,343.6619718,171.2253521,271.8028169,347.556338
9,148.3986014,934.4755245,304.6013986,700.958042,296.7132867,598.7552448,338.0909091,168.7762238,270.006993,342.6853147
10,151.7588652,1026.056738,297.7304965,687.4822695,304.0921986,592.5886525,344.6099291,169.7801418,276.3829787,354.1489362
11,152.9929078,1135.546099,284.106383,658.5177305,310.1702128,562.8723404,355.1843972,168.8865248,276.7304965,358.9503546
12,148.048951,1248.251748,276.1258741,631.2797203,308.6013986,517.9370629,358.3986014,167.0629371,270.7622378,352
13,149.5314685,1329.573427,276.5384615,611.1258741,305.8251748,491.4825175,354.9440559,167.2237762,272.8461538,344.7972028
14,156.6619718,1401.922535,272.5211268,605.1830986,302.8169014,488.5352113,347.3802817,167.4929577,276.5211268,342.2042254
15,154.2816901,1476.485915,270.9929577,627.6338028,297.4295775,493.7535211,342.528169,165.2746479,274.0422535,341.3098592
16,150.2887324,1549.84507,273.471831,664.0070423,296.3028169,500.9014085,347.8380282,164.3028169,270.1478873,332.3239437
17,153.4647887,1555.901408,275.6971831,674.4225352,298.3450704,506.0985915,358.1197183,164.8450704,264.6478873,317.7887324
18,151.1985816,1499.085106,279.8297872,671.4964539,306.0425532,505.0992908,360.1843972,166.7234043,262.9929078,306.7234043
19,144.4895105,1451.86014,274.6736111,638.3426573,312.5,481.6736111,357.1319444,164.9444444,263.9722222,298.3333333
20,144.3263889,1455.340278,270.8888889,604.0208333,322.4930556,465.9583333,367.4583333,165.2013889,276.1319444,309.0138889
21,152.5314685,1462.118881,268.7762238,593.3006993,329.2657343,464.4545455,372.2237762,164.6363636,284.1538462,324.1958042
22,153.1931034,1452.386207,264.5724138,586.3655172,326.3103448,464.3931034,368.0206897,160.862069,277.2827586,324.4551724
23,150.125,1489.652778,265.9652778,600.4861111,330.5277778,474.3472222,366.7916667,164.75,271.6736111,317.7361111
24,147.7708333,1496.930556,264.5138889,604.2222222,336.6597222,472.0763889,354.5486111,166.5833333,266.8819444,306.6597222
25,148.6875,1497.881944,266.7916667,608.8472222,347.0208333,459.4305556,352.4236111,165.1111111,270.1736111,306.0277778
26,156.0277778,1529.3125,271.4236111,614.9930556,355.4722222,447.7361111,357.6388889,164.0763889,274.875,309.7638889
27,159.375,1564.875,274.9375,616.5,355.8402778,443.6458333,355.6597222,163.4652778,276.1180556,308.9791667
28,154.262069,1516.268966,277.1103448,610.5586207,349.2413793,436.4206897,354.537931,160.9793103,272.6965517,305.9862069
29,149.4689655,1406.737931,280.7103448,605.9862069,344.0482759,428.5517241,359.2689655,158.7862069,269.7724138,307.0344828
30,150.3724138,1299.731034,277.8551724,598.9517241,346.6,427.2413793,359.0137931,158.1655172,269.2068966,307.4413793
31,155.3287671,1234.917808,269.0479452,587.9452055,355.5958904,433.2808219,355.4383562,160.7671233,270.3767123,304.0684932
32,161.6369863,1198.821918,266.3630137,576.1232877,366.5890411,442.6369863,354.0684932,163.8013699,280.7534247,300.630137
33,164.0272109,1179.591837,265.2517007,551.8367347,370.7959184,446.7687075,351.5646259,161.7482993,296.8639456,293.3877551
34,159.0816327,1113.965986,263.5646259,534.7755102,366.755102,451.6870748,352.1292517,160.1292517,294.3265306,285.8095238
35,153.4344828,1054.544828,263.2896552,530.7724138,361.0413793,461.6137931,360.3103448,163.2758621,280.2965517,283.0275862
36,154.6827586,1018.572414,260.1655172,513.7862069,352.5172414,460.9241379,359.3862069,163.4758621,271.2551724,277.1931034
37,160.9305556,949.1111111,255.4583333,504.6111111,350.1597222,454.9166667,357.2430556,163.4027778,272.4652778,275.0972222
38,159.5208333,836.9305556,248.125,500.2083333,355.6527778,444.8541667,353.9305556,162.6597222,273.8402778,272.8402778
39,157.9230769,749.2167832,248.4755245,511.972028,372.2027972,438.9300699,353.2237762,164.7272727,274.7132867,274.5874126
40,156.5454545,699.9020979,251.1328671,528.3706294,385.1538462,427.1118881,355.048951,165.6993007,272.5314685,272.2727273
41,158.9225352,675.9295775,255.0704225,542.0633803,392.2746479,414.7552448,355.6223776,166.1408451,269.5804196,264.9440559
42,159.4609929,636.8297872,262.1631206,546.0921986,391.4468085,410.0638298,357.858156,166.0283688,270.2411348,263.9361702
43,154.1714286,585.9716312,266.0283688,545.5070423,385.2836879,405.7943262,351.0633803,166.3120567,264.7464789,265.8098592
44,149.9142857,542.1285714,268.55,548.7357143,382.4357143,405.5642857,357.7357143,166.85,265.5,277.35
45,148.7410072,488.7841727,273,528.323741,383.1007194,401.3165468,363.8057554,165.8633094,265.8345324,284.3956835
46,144.7482014,434.5467626,272.7553957,498.7913669,385.3381295,397.8561151,361.1438849,164.7553957,268.4676259,283.6618705
