Distance_(microns),eve,engril,mlpt,hb,kr,gt,svb,cad,runt,odd
0,207.3076923,105.1538462,322,278.1538462,221.8461538,484.6923077,348.5384615,165.7692308,386.8461538,483.2307692
1,219.2682927,112.902439,349.5365854,311.7073171,226.8536585,478.8292683,370.2682927,167.8292683,400.5609756,515.9756098
2,212.3870968,158.6290323,349.4516129,387.5806452,241.8870968,480.9032258,384.7741935,192.7419355,406.2096774,507.1612903
3,207.4933333,167.0266667,357.9733333,407.96,243.4666667,519.4666667,397.4933333,197.84,395.76,502.7066667
4,205.4666667,180.6,353.2533333,418.0533333,241.4666667,547.0533333,405.4,199.72,408.7066667,510.3333333
5,202.3733333,208.08,348.9866667,437.4666667,242.8266667,577.36,411.8,203.68,453.36,517.2266667
6,200.5466667,216.8666667,341.5333333,450.8,246.44,598.3333333,413.5466667,203.8666667,452.0533333,512.04
7,198.7432432,226.1621622,343.0675676,448.4054054,246.4459459,595.4054054,414.3378378,202.4594595,416.2567568,507.5405405
8,201.6216216,285.5675676,348.0945946,469.8378378,247.8243243,569.0810811,409.4864865,203.2162162,404.7027027,527.2432432
9,201.7866667,314.3066667,337.5733333,483.8266667,244.52,548.6666667,403.3066667,203.6533333,401.6533333,542.5333333
10,200.7066667,321.1733333,340.5066667,476.44,233.7066667,536.6,405.8533333,204.9866667,400.1333333,541.32
11,202.2266667,386.72,346.0533333,476.48,225.1733333,527.2,410.24,206.9466667,388.6533333,531.0266667
12,207.4,461.3333333,345.0933333,485.28,227,537.3466667,417.8133333,205.2133333,382.3866667,515.28
13,219.3733333,545.7733333,350.52,486.4933333,235.7466667,552.32,424.8666667,203.8533333,398.5466667,503.88
14,222.6081081,612.1351351,353.027027,472.6756757,237.9054054,554.9189189,426.1756757,208.7162162,424.0405405,511.9459459
15,227.4864865,667.7837838,346.7027027,467.5540541,230.3918919,558.7027027,429.5135135,213.9054054,443.4459459,530.6621622
16,245.4324324,734.5945946,342.7702703,472.6351351,227.8783784,566.7567568,426.3378378,213.4594595,433.0675676,534.3513514
17,251.1486486,762.7162162,347.7567568,478.7027027,231.1486486,572.3378378,423.972973,209.5,424.8783784,531.5
18,247.2432432,760.7297297,340.4189189,475.5675676,231.4594595,584.8108108,427.3783784,207.7972973,438.6891892,526.7972973
19,232.0263158,766.4605263,336.0657895,466.3947368,234.2894737,616.5394737,439.6578947,209.4342105,473.6052632,526.6052632
20,228.7692308,751.3974359,336.1538462,457.1410256,247.7820513,623.2051282,459.8205128,211.8974359,501.1025641,545.8076923
21,237.0384615,717.1923077,326.5,473.9230769,253.8589744,606.4487179,466.8205128,210.7051282,487.7564103,566.0769231
22,231.8375,697.2875,324.8375,515.9875,244.375,616.6125,465.2125,210.55,459.2625,545.8
23,231.1807229,681.6987952,340.9518072,517.6385542,232.0240964,641.4457831,461.2891566,213.0481928,428.7590361,512.6385542
24,260.1162791,691.1162791,357.9651163,525.3604651,227.6162791,639.744186,462.4069767,215.4186047,415.9883721,514.7209302
25,266.3103448,711.9655172,371.5977011,528.0344828,230.1264368,602.862069,456.2298851,217.2988506,408.7356322,514.954023
26,254.6179775,724.8202247,360.1573034,497.6629213,232.6179775,571.1123596,445.752809,214.5617978,398.8314607,510.9775281
27,244.7582418,708.5274725,338.3406593,489.5164835,234.0659341,563.6043956,446.3186813,207.989011,392.2747253,537.4065934
28,243.1098901,703.3296703,326.2527473,521.1208791,234.2307692,580.5604396,444.5604396,205.1978022,389.8241758,561.8461538
29,252.9574468,691.3723404,322.5212766,544.8085106,235.7659574,599.6595745,443.0319149,207.0957447,394.3617021,533.9680851
30,251.4,682.7052632,328.6421053,556.2105263,233.2210526,599.0526316,450.2842105,208.6526316,394.1684211,519.4105263
31,243.742268,656.2268041,339.2268041,549.0824742,231.0721649,604.9381443,444.443299,207.628866,390.6391753,517.6804124
32,233.3061224,602.0408163,344.622449,544.7040816,235.1326531,612.0816327,433.7040816,204.3979592,393.7244898,515.3979592
33,225.15,537.82,353.1,527.76,234.9,609.99,428.61,204.35,393.78,522.18
34,216.0873786,471.4757282,361.5436893,517.7669903,233.0097087,605.9223301,422.223301,205.6893204,394.0970874,539.9320388
35,211.3883495,477.0291262,357.1553398,509.631068,234.0970874,587.7475728,419.1067961,204.2135922,406.2621359,534.8058252
36,218.2830189,470.2169811,343.7169811,495.7735849,231.3773585,567.9245283,417.7924528,201.7830189,424.5188679,522.5754717
37,240.7383178,453.3831776,337.4205607,482.9906542,228.7943925,564.7476636,424.271028,201.1028037,440.271028,512.1962617
38,252.4678899,433.9908257,335,465.6513761,227.7614679,583.3577982,422.8715596,203,441.293578,516.0825688
39,260.3214286,404.9821429,341.0446429,466.8928571,222.7410714,613.0357143,416.75,206.5446429,432.6875,525.3482143
