Distance_(microns),eve,engril,mlpt,hb,kr,gt,svb,cad,runt,odd
0,122.6590909,96.04545455,118.6363636,533.1818182,96.95454545,236.4545455,267.25,62.45454545,137.4772727,130.4318182
1,142.8965517,110.637931,162.2931034,642.7068966,112.9310345,288.4655172,311.7931034,75.9137931,158.6206897,153.7758621
2,155.46875,130.875,199.328125,700.671875,125.34375,322.8125,353.859375,88.875,171.078125,169.171875
3,159.7076923,147.9692308,205.6307692,704.7538462,125.5538462,332.8307692,367.0769231,91.67692308,170.3384615,174.1692308
4,166.046875,170.84375,210.6875,735.28125,126.5,351.765625,378.203125,93.3125,173.640625,178.984375
5,166.6615385,193.2461538,214.6153846,736.7384615,123.1538462,363.5538462,381.1076923,93.64615385,172.6769231,178.6153846
6,174.8939394,218.6818182,222.1363636,741.6666667,121.0454545,370.7575758,393.4545455,95.86363636,173.3333333,181.8636364
7,188.7462687,241.9104478,226.9850746,748.4029851,121,367.9104478,412.5671642,97.53731343,177.9850746,186.6567164
8,183.9264706,263.7941176,227.7941176,755.2058824,120.9558824,359.2205882,436.3382353,99.83823529,181.2058824,188.5735294
9,183.2753623,280.2898551,225.6086957,765.1884058,120.6521739,353.4057971,466.1014493,105.3623188,181.4057971,192.0434783
10,171.6666667,249.4827586,208.045977,680.0795455,106.5517241,329.9425287,418.6704545,99.70114943,162.5517241,174.0344828
11,182.1122449,235.0612245,218.9897959,719.6836735,111.9387755,358.8979592,438.7142857,104.7938144,170.6428571,179.0510204
12,175.4910714,218.0089286,213.3716814,705.9911504,117.0982143,359.4159292,415.2212389,97.79464286,171.0357143,176.9196429
13,177.0327869,211.4016393,219.0409836,717.8278689,121.0163934,370.3770492,414.6557377,96.68032787,176.1393443,178.6065574
14,171.0147059,203.2132353,213.0291971,688.6642336,116.3161765,352.350365,388.4306569,95.38235294,168.0364964,172.9562044
15,173.5655172,216.9793103,230.5103448,719.9310345,117.5172414,353.937931,404.0965517,98.29655172,170.9586207,177.9448276
16,176.1801242,218,232.5838509,718.2608696,113.9503106,336.0993789,395.5900621,99.0310559,170.8944099,178.4534161
17,193.9230769,224.6686391,236.5798817,733.2721893,115.7455621,336.0295858,402.4911243,106.6272189,180.704142,189.6686391
18,207.7235294,237.9235294,233.3882353,717.0823529,116.3705882,340.5352941,399.2941176,107.5529412,184.8647059,194.8058824
19,216.2951807,273.4698795,233.6024096,704.9457831,118.5722892,356.7891566,401.126506,104.2048193,190.4036145,200.253012
20,218.8727273,289.6909091,234.9757576,689.1575758,120.4969697,372.4121212,401.7515152,102.0484848,192.3515152,204.230303
21,228.7454545,285.369697,231.9515152,675.8181818,120.4,379.9272727,394.6727273,100.0424242,192.2121212,203.2363636
22,238.6969697,301.3090909,229.1939394,684.8787879,120.3333333,381.0121212,397.2787879,98.71515152,194.7636364,204.9515152
23,236.5030303,324.5575758,226.8,708.3090909,120.1818182,379.3757576,399.1575758,97.93333333,195.5393939,209.2787879
24,229.169697,335.6909091,224.4424242,723.6545455,119.9393939,379.369697,402.4121212,95.87878788,194.8848485,207.4424242
25,234.4545455,333.9818182,224.0666667,736.4969697,119.8787879,384.0181818,402.5757576,94.06666667,192.3818182,201.6181818
26,239.9096386,335.9337349,221.9457831,751.3855422,118.2409639,388.1746988,394.7951807,92.90361446,188.4216867,196.6506024
27,241.502994,339.6347305,215.8383234,768.0778443,116.4850299,391.3353293,391.8383234,93.31137725,187.2035928,197.8383234
28,244.994012,345.5928144,205.9461078,776.3532934,115.3353293,393.9281437,393.2694611,94.1257485,187.9700599,202.6646707
29,249.2071006,338.5,192.3964497,754.9411765,114.0710059,389.7058824,373.0941176,93.0591716,181.6058824,202.8647059
30,246.7470588,337.5176471,180.3117647,743.2411765,115.5647059,394.2176471,357.1941176,92.42352941,180.0941176,202.0823529
31,243.0882353,350.0411765,168.0294118,733.3176471,116.6882353,396.9823529,349.1294118,92.47058824,178.4294118,195.5352941
32,231.0584795,337.4093567,158.5906433,737.6140351,116.5730994,401.4327485,349.4210526,94.36842105,174.6081871,191.128655
33,221.3236994,323.6820809,151.9190751,742.5114943,115.0578035,400.1445087,343.5057471,95.69942197,173.8786127,186.433526
34,215.8920455,301.7897727,146.2670455,739.0170455,113.4829545,385.6534091,337.3465909,94.44886364,170.8125,180.3352273
35,205.0451977,279.1073446,142.4689266,716.0621469,113.2768362,374.1073446,336.0112994,92.75141243,168.9265537,175.5423729
36,199.258427,254.9325843,141.3089888,685.8707865,114.2247191,368.3876404,337.511236,90.88764045,170.0842697,174.0505618
37,189.698324,245.3296089,142.3296089,665.5083799,114.8715084,367.3910615,336.0893855,89.59776536,170.4581006,177.3798883
38,180.7292818,240.6629834,142.1436464,655.0165746,115.2209945,365.7900552,332.5911602,89.62430939,169.0994475,180.5690608
39,174.1823204,230.1381215,140.4033149,650.121547,115.7513812,366.0331492,333.4198895,90.33149171,169.2375691,183.8950276
40,167.4945055,214.9010989,137.978022,643.6153846,115.989011,369.5054945,334.6373626,89.79120879,171.043956,188.0769231
41,168.1043956,201.1538462,135.7032967,644.1043956,116.8186813,379.043956,335.1043956,88.52747253,172.2472527,192.1538462
42,163.6666667,192.0983607,133.8087432,646.4699454,117.6557377,384.7704918,334.8087432,87.85245902,172.4972678,189.7377049
