Distance_(microns),eve,engril,mlpt,hb,kr,gt,svb,cad,runt,odd
0,94.76190476,110,139.5714286,537.5238095,111.5238095,163.4761905,265.1904762,109.047619,109.0952381,109.0952381
1,95.58333333,117.9166667,139.7083333,671.2916667,128.8333333,178.1666667,273.375,112.75,130.7083333,121.7916667
2,95.25925926,125.8148148,140.4074074,846.5555556,135.1851852,185.8888889,286.8148148,115.9259259,155.2222222,133.5925926
3,102.8275862,125.8275862,163.1724138,853.5517241,139.3793103,199.6551724,311,119.1724138,163.862069,139.5517241
4,129.0625,133.46875,172.46875,752.5,142.625,221.25,338.53125,123.65625,170.875,139.71875
5,143.8611111,154.0555556,175.8333333,544.0555556,144.6111111,239.6944444,366.8611111,127.5277778,181.4722222,145.1944444
6,146.0789474,169.6842105,183.2105263,585.6842105,142.2631579,248.6842105,389.2631579,128.0263158,187.9210526,162.1315789
7,135.1666667,174.5714286,188.7380952,658.4285714,134.452381,243.452381,376.8333333,129.6190476,194.2857143,179.1190476
8,130.1304348,171.6521739,192.673913,679.3043478,131.173913,237.5434783,350.5,121.0217391,203.0434783,188.6521739
9,131.244898,181.8163265,205.7346939,791.122449,131.8163265,236.1632653,379.122449,115.2244898,213.6530612,190.3265306
10,132.3272727,208.5636364,218.7272727,741.4,132.6363636,235.3636364,405.5090909,124.4909091,226.8,191.7454545
11,124.704918,244.0983607,235.7704918,694.6065574,133.3278689,243.4918033,434.7213115,127.9344262,236.4754098,201.8360656
12,123.6461538,244.1846154,231.7692308,663.7538462,139.4,263.3538462,467,128.5538462,241.6461538,209.1076923
13,127.5588235,218.2941176,218.2647059,640.3088235,147.5441176,283.2647059,449.9411765,127.0882353,245.9411765,208.3088235
14,129.1805556,203.8611111,211.5138889,690.75,150.3472222,296.2916667,449.9166667,127.9583333,254.8611111,207.4027778
15,128.472973,222.2567568,211.4189189,772.7432432,150.4459459,293.2702703,461.3783784,130.3243243,262.7162162,214.972973
16,126.9090909,255.7662338,211.2467532,828.6233766,150.2987013,283.7532468,462.9090909,133.3636364,266.3636364,219.4025974
17,127.3209877,281.5185185,210.617284,822.7901235,152.4074074,278.5555556,461.4320988,134.5555556,275.1604938,219.345679
18,128.297619,295.4642857,213.5595238,815.6071429,154.1428571,281.1666667,470.8928571,132.6666667,284.4404762,217.7142857
19,126.4659091,297.6022727,216.8863636,798,152.875,294.1022727,480.4886364,130.2840909,282.7045455,215.1818182
20,128.8876404,314.6966292,213.0224719,796.3820225,151.8764045,307.9438202,490.8202247,132.1235955,277.752809,214.1685393
21,136.1382979,330.9680851,211.1914894,798.9148936,151.7446809,326.8085106,506.3297872,135.9574468,278.0957447,218.0851064
22,143.51,355.22,209.55,804.26,152.93,326.16,516.37,137.86,280.06,217.98
23,152.0865385,388.9326923,212.9134615,752.8557692,152.5865385,318.2980769,522.8846154,137.9134615,283.4134615,216.4807692
24,162.1308411,418.8691589,211.2523364,737.4018692,152.2523364,311.6635514,525.8130841,137.6168224,286.5700935,220.3925234
25,166.4594595,419.954955,208.1441441,737.8468468,152.981982,309.8468468,519.6036036,136.4324324,287.5225225,225.4414414
26,171.0695652,429.5826087,214.0869565,753.8695652,152.6608696,307.026087,527.173913,136.626087,287.7565217,226.7130435
27,179.3418803,451.4358974,214.2991453,804.1025641,153.1025641,298.7521368,547.5384615,140.4871795,292.0683761,226
28,189.1,442.625,209.65,851.575,154.7833333,289.4166667,551.5916667,146.4416667,293.9833333,227.125
29,200.7368421,413.1804511,228.3458647,839.962406,162.0977444,290.9398496,557.2857143,151.075188,299.4511278,233.7368421
30,228.9866667,389.16,248.9666667,849.5333333,165.2333333,302.8066667,569.2733333,155.8866667,298.9333333,237.8866667
31,234.4444444,364.1503268,250.5555556,817.9281046,168.6601307,314.9411765,572.5751634,155.9084967,298.3333333,236.0653595
32,232.4871795,336.3333333,244.3717949,844.8269231,176.4487179,325.8974359,577.1346154,157.7051282,303.8269231,231.6282051
33,221.7,307.375,242.58125,840.9625,183.7,329.0875,578.34375,158.775,311.99375,223.53125
34,208.6196319,287.4539877,246.2331288,819.208589,187.4785276,330.1104294,592.7791411,157.1533742,320.7668712,219.595092
35,200.257485,276.3952096,245.4371257,827.9161677,186.1437126,330.0718563,593.4610778,151.0538922,322.0538922,217.2634731
36,198.9356725,290.7719298,241.3040936,842.5146199,182.9883041,330.7309942,588.2923977,150.0818713,318.9064327,215.1111111
37,204.7126437,311.2873563,237.6321839,852.1896552,179.4137931,332.6781609,591.7298851,151.8045977,316.6724138,214.8103448
38,213.2247191,322.1910112,239.6235955,809.9101124,177.011236,334.4157303,591.6292135,155.741573,314.7640449,219.2303371
39,218.8444444,316.75,236.8444444,772.1777778,174.6055556,338.5833333,593.1333333,161.85,315.5555556,228.0888889
40,218.5879121,293.1153846,231.7582418,743.0549451,170.9340659,335.8516484,600.3571429,163.0934066,314.8076923,233.1758242
41,207.9893048,275.3048128,223.0641711,742.6684492,166.8823529,327.4224599,603.3636364,162.2994652,310.802139,236.5454545
42,191.0463918,264.0773196,221.5309278,733.3659794,161.2938144,323.7268041,603.3865979,159.3659794,303.3092784,237.0360825
43,174.9761905,259.9333333,221.0142857,714.0619048,157.1285714,314.0761905,583.152381,157.5952381,296.0095238,234.247619
44,163.8990826,262.3440367,217.4954128,703.5,157.9587156,312.4954128,567.0733945,159.5321101,295.7889908,229.9724771
45,157.0733945,271,220.5091743,700.5045872,158.7981651,315.9724771,564.6743119,160.4678899,303.8669725,229.4678899
46,150.2477064,289.9449541,225.7706422,692.6605505,158.4862385,319.7385321,559.1330275,158.1926606,304.0504587,230.5504587
47,143.4449541,324.5779817,222.4266055,695.8577982,160.4862385,322.3899083,558.0366972,155.0366972,302.8165138,236.9541284
48,140.0776256,349.0045662,216.7945205,697.8630137,160.5114155,330.5296804,554.826484,152.5296804,306.0456621,239.347032
49,143.4772727,350.15,209.7090909,702.8,160.35,347.2772727,543.8545455,151.5045455,310.8227273,235.15
50,146.456621,315.2237443,210.1598174,668.1369863,162.7442922,350.2283105,533.3744292,151.1689498,312.3105023,230.6164384
51,148.1788991,275.5,209.6513761,670.0137615,163.3944954,331.1376147,523.0275229,150.9449541,310.1422018,224.3761468
52,149.9907407,267.0925926,209.7453704,706.5,163.3287037,322.0416667,516.5648148,152.3194444,313.8888889,222.0601852
53,152.1860465,276.4186047,208.7534884,701.5255814,161.1488372,318.2,511.7813953,152.5581395,317.372093,220.6976744
54,152.6415094,262.4811321,210.9009434,709.7216981,158.7735849,311.5188679,511.8726415,151.1037736,316.3632075,220.6603774
55,153.0141509,244.9575472,215.7028302,725.2311321,158.5990566,312.3962264,509.6037736,149.7783019,312.1179245,222.6603774
56,149.7761905,222.147619,206.0142857,724.6238095,158.9714286,314.847619,506.2952381,147.5809524,309.852381,222.0047619
57,141.7320574,200.9952153,198.6124402,682.1626794,157.2488038,316.8851675,504.6650718,145.2535885,308.5885167,221.1913876
58,136.7777778,195.352657,195.6376812,602.6714976,158.0966184,326.0724638,505.6618357,143.7342995,316.0966184,221.4009662
59,132.1067961,194.7718447,194.592233,621.9563107,159.2184466,334.7669903,507.6067961,142.1504854,318.0048544,216.8543689
60,132.5756098,195.3707317,194.6341463,638.7268293,157.395122,326.8926829,509.6878049,138.5268293,312.3317073,209.5804878
61,137.5615764,193.0985222,195.7389163,640.0738916,154.5566502,303.2167488,514.3448276,136.1773399,304.5862069,208.6305419
62,137.0792079,185.1386139,196.7277228,649.7227723,153.950495,283.3267327,520.4752475,137.2623762,301.7524752,212.0049505
63,135.98,180.16,194.9,644.355,155.43,285.25,527.96,138.47,299.855,214.15
64,138.41,179.845,186.715,615.12,155.735,290.495,529.17,140.46,297.21,215.29
65,139.3333333,184.469697,189.2272727,592.3030303,154.2626263,295.2070707,529.6464646,141.1161616,297.3383838,216.8535354
66,136.0357143,183.9183673,189.244898,591.0663265,158.1887755,293,522.1836735,138.8469388,292.3928571,215.122449
67,134.5412371,177.0257732,186.2164948,622.6030928,162.7886598,287.5412371,516.5051546,135.7783505,288.9226804,214.7886598
68,131.7216495,162.1494845,185.3814433,668.2525773,164.3402062,285.2319588,514.2371134,135.0257732,288.9226804,214.4742268
69,127.7291667,150.8125,187.3333333,684.0520833,165.46875,285.4739583,514.8802083,137.8125,292.390625,216.5833333
70,127.5210526,146.6526316,191.8052632,651.3473684,170.2842105,286.6368421,512.0631579,142.2578947,299.4157895,219.4421053
71,127.1914894,147.8191489,189.1542553,669.8510638,177.7074468,284.9521277,508.1755319,144.4574468,307.2765957,218.4680851
72,124.7089947,146.7037037,189.3227513,675.4708995,185.2804233,283.4021164,507.8730159,141.0634921,308.1216931,212.7989418
73,124.8870968,144.2258065,197.2473118,660.3064516,189.7795699,283.8172043,515.9408602,137.2204301,307.0860215,207.7473118
74,127.0810811,144.3027027,198.1243243,618.1405405,188.3459459,284.2918919,518.5135135,135.9513514,309.6162162,211.2594595
75,127.2810811,145.6324324,197.4378378,599.8486486,184.5351351,285.2972973,514.7405405,137.372973,318.0540541,223.1189189
76,124.2648649,148.5837838,195.5621622,622.5459459,185.6810811,285.4,508.7459459,139.3513514,327.3513514,236.7081081
77,122.5891892,151.2864865,197.4648649,673.4162162,188.2810811,286.1783784,500.9945946,138.5081081,330.1081081,243.4432432
78,123.0378378,151.4108108,196.9459459,694.6972973,188.5567568,286.2864865,496.6648649,135.9945946,326.7945946,241.4108108
79,124.1513514,149.6054054,191.5297297,663.3783784,188.0594595,280.3459459,489.4432432,133.2810811,329.1675676,234.572973
80,126.4864865,148.1135135,192.6864865,665.3945946,187.6864865,277.7405405,491.9189189,130.2864865,339.2108108,230.8216216
81,128.7945946,149.8756757,196.0324324,674.0702703,187.2594595,281.3837838,507.4432432,129.027027,343.6648649,233.1459459
82,132.0054054,154.4108108,201.5243243,685.172973,189.3675676,286.3459459,528.6918919,129.6216216,345.3081081,241.9135135
83,132.983871,160.9516129,201.3709677,686.7419355,192.9623656,287.2956989,541.9086022,131.1774194,351.2258065,249.0967742
84,132.0108108,166.4162162,201.0324324,708.0756757,195.2054054,284.3945946,549.8486486,133.8918919,360.8432432,252.0918919
85,135.1344086,163.3817204,202.4032258,767.3064516,196.0268817,282.0376344,559.7580645,137.3924731,362.5752688,252.7526882
86,144.0054054,161.4216216,202.8486486,816.0756757,195.3081081,280.5837838,575.1783784,139.8324324,364.5783784,254.4054054
87,153.9837838,165.9135135,202.8702703,825.972973,193.1081081,281.1405405,579.1675676,141.6810811,376.5081081,257.1459459
88,163.7621622,168.9513514,202.5621622,762.427027,191.827027,284.372973,583.8594595,141.6108108,388.8108108,259.8162162
89,172.1135135,167.0054054,198.1297297,767.2162162,192.3351351,288.3351351,584.5675676,140.3945946,385.7621622,261.5783784
90,175.8216216,166.4216216,195.3027027,783.0756757,194.4648649,288.7783784,576.372973,140.5027027,378.7837838,260.1621622
91,175.6774194,169.6397849,198.0107527,789.5,197.4247312,282.8817204,571.3333333,140.016129,384.3709677,259.7634409
92,174.2956989,170.6021505,201.6612903,777.7204301,201.3602151,277.688172,567.7688172,140.5053763,391.4354839,261.3333333
93,168.1021505,169.6935484,203.344086,768.2473118,205.3172043,282.2311828,566.688172,144.2365591,384.5053763,258.0053763
94,163.1283422,169.2994652,197.3903743,765.7647059,207.8930481,291.7754011,562,147.3048128,380.6737968,255.5294118
95,163.5347594,169.2941176,197.9625668,790.171123,210.4438503,298.5935829,556.5508021,148.9304813,381.0588235,260.8770053
96,168.2994652,162.9090909,199.540107,807.7165775,207.8930481,297.828877,551.5508021,149.5721925,382.4278075,262.1283422
97,168.8449198,152.8983957,199.6256684,787.6417112,203.802139,296.2941176,554.1550802,148.4064171,389.8770053,254.9786096
98,163.7765957,147.2819149,202.7074468,759.7978723,205.8882979,294.1489362,555.6648936,147.5585106,393.9308511,244.2287234
99,159.5240642,149.855615,203.8609626,740.6470588,210.1283422,290.0213904,552.8609626,148.197861,386.4652406,240.5935829
100,159.9625668,156.5721925,195.3101604,744.631016,207.5614973,288.802139,553.3582888,146.2299465,374.4278075,237.2513369
101,162.2698413,160.5873016,195.2751323,722.1005291,203.3280423,290.6084656,559.026455,143.1375661,362.2433862,230.6613757
102,159.6190476,157.047619,198.037037,709.4232804,203.3386243,298.957672,571.2857143,145.2169312,354.5343915,228.2857143
103,157.9840426,152.6861702,196.7819149,730.6914894,205.2287234,312.6382979,584.6968085,150.3617021,351.4148936,230.8031915
104,155.9255319,147.9787234,198.6542553,753.856383,209.9042553,318.7978723,591.2446809,152.7287234,354.4202128,230.2340426
105,156.7724868,147.037037,201.010582,769.6878307,215.2751323,313.0793651,582.5185185,148.7142857,355.4232804,232.1957672
106,150.9521277,152.4787234,202.0744681,767.4255319,217,302.0053191,571.8085106,144.0425532,356.0425532,236.2553191
107,142.0531915,155.4308511,200.037234,771.1755319,216.393617,293.356383,566.106383,143.787234,351.8138298,233.4042553
108,135.6719577,153.037037,198.1322751,781.1058201,220.6984127,290.8677249,563.9206349,145.1693122,348.962963,223.5343915
109,134.9100529,150.2328042,203.5291005,820.8359788,226.6613757,291.4074074,562.3439153,146.3386243,348.1587302,222.1216931
110,134.7936508,147.8571429,205.0952381,812.5238095,224.9153439,296.3650794,574.4021164,149.5449735,347.0740741,224.978836
111,134.2052632,147.7105263,206.1473684,779.4263158,217.8473684,298.3,583.4842105,152.5105263,344.3105263,228.5842105
112,131.8526316,152.1631579,213.3473684,737.1736842,211.7421053,288.7157895,583.3052632,155.3157895,347.1210526,234.0315789
113,127.6387435,154.3507853,212.7591623,731.7434555,209.1308901,277.617801,598.5235602,156.1727749,353.8324607,236.6073298
114,128.7684211,155.4315789,209.8894737,749.9315789,214.6684211,276.7368421,606.5789474,158.2473684,363.1,234.5789474
115,131.3403141,156.5340314,207.3717277,798.9685864,224.6806283,277.2146597,608.8743455,158.7905759,362.0732984,228.7015707
116,131.0366492,157.7643979,206.8167539,832.8586387,233.1361257,275.2251309,604.0837696,156,360.1675393,225.3979058
117,130.5210526,156.4210526,206.8315789,849.1052632,232.7631579,275.3842105,587.9052632,152.6263158,367.2631579,230.9684211
118,130.3072917,153.7916667,207.2864583,841.7604167,229.6979167,282.6510417,574.9739583,151.3385417,373.84375,238.9322917
119,136.203125,154.7135417,204.4427083,817.4270833,229.5677083,287.59375,577.609375,152.6666667,377.9375,244.1614583
120,139.9166667,158.875,200.6875,791.6145833,231.1770833,283.2239583,580.03125,154.1197917,375.4114583,249.3802083
121,138.671875,163.09375,202.1510417,819.4270833,232.7239583,277.7239583,574.9583333,154.5208333,369.546875,252.1145833
122,138.1875,167.015625,205.7083333,825.0572917,235.6927083,271.8020833,570.8229167,155.5052083,365.5052083,248.8697917
123,135.3177083,166.6041667,210.84375,820.859375,232.2604167,266.6510417,577.4375,158.2552083,364.21875,245.625
124,134.9010417,162.140625,210.4895833,809.5885417,230.6145833,260.9947917,586.4947917,162.4166667,362.9895833,243.8697917
125,137.388601,156.6683938,209.2590674,811.0984456,235.1088083,256.6217617,595.6943005,165.1968912,360.880829,241.2797927
126,138.40625,156.9895833,208.84375,815.71875,241.25,257.0677083,606.796875,164.09375,361.1197917,241.9010417
127,136.9114583,160.390625,206.3697917,770.7760417,246.7395833,259.2291667,604.328125,160.6197917,359.296875,242.6875
128,137.3926702,162.9685864,204.486911,764.3717277,252.9581152,264.895288,593.6335079,158.2984293,355.8219895,241.3769634
129,140.1727749,162.3507853,202.7434555,778.026178,257.3560209,274.6701571,585.6492147,155.5445026,351.0104712,240.3717277
130,139.7172775,161.4031414,200.895288,765.7225131,258.8743455,278.5602094,585.0942408,152.2513089,346.7486911,241.3298429
131,137.8219895,162.9685864,199.565445,736.6387435,257.5287958,269.7277487,586.5445026,150.6387435,343.8062827,243.1989529
132,137.539267,170.895288,198.9633508,700.382199,258.3979058,259.4502618,591.3612565,151.1832461,342.9057592,246.8638743
133,136.9581152,189.486911,200.7643979,704.7277487,261.4659686,250.1623037,598.3979058,152.104712,344.1937173,255.5183246
134,135.6368421,214.9789474,200.4631579,725.2789474,262.6315789,249.2684211,597.0421053,153.0157895,342.7684211,265.0894737
135,136.052356,239.6910995,198.4554974,753.1989529,257.7486911,257.1361257,600,154.5811518,336.7120419,269.8586387
136,138.5625,263.203125,194.28125,728.6979167,254.5989583,261.8489583,606.8645833,154.765625,328.4270833,271.1510417
137,139.6979167,278.515625,195.0104167,748.6666667,259.4322917,262.3541667,606.796875,155.2291667,325.890625,272.4166667
138,138.75,277.328125,198.9479167,799.4010417,260.9270833,260.1197917,604.3958333,154.53125,328.515625,273.5833333
139,138.2670157,281.6439791,198.591623,834.9633508,257.1151832,251.6963351,601.9057592,152.5968586,330.9005236,278.0890052
140,133.8115183,311.6963351,198.9947644,843.9267016,253.0994764,244.7801047,599.2670157,148.8638743,329.6230366,287.2513089
141,127.2315789,349.6473684,200.4263158,838.3052632,245.4105263,250.0631579,605.6789474,144.0947368,327.4578947,297.6
142,125.1578947,365.6210526,203.5473684,927.2789474,234.1736842,252.3894737,616.5315789,142.9894737,328.0210526,303.9736842
143,128.3015873,384.6507937,204.7407407,980.5978836,226.3915344,253.4285714,623.4021164,142.6613757,337.984127,310.0529101
144,131.5608466,417.1798942,203.6084656,1015.391534,224.957672,256.6084656,624.005291,142.5026455,354.010582,315.3280423
145,132.1640212,447.8201058,200.6666667,1041.793651,225.2804233,253.6613757,619.4656085,143.3862434,366.2539683,320.4285714
146,133.1164021,483.4074074,199.7301587,1006.148148,225.3492063,246.5291005,607.0634921,146.5767196,370.8042328,329.0846561
147,135.1164021,511.8994709,200.5185185,917.5714286,226.7566138,242.6243386,599.6613757,149.1428571,372.5026455,339.5132275
148,137.9470899,533.3333333,196.6825397,911.994709,228.1111111,240.7301587,606.3915344,147.6402116,374.9417989,349.8253968
149,141.5132275,526.0793651,196.026455,904.1216931,221.3597884,241.0793651,615.6772487,144.8465608,370.5079365,358.7777778
150,150.4521277,513.393617,198.3670213,893.5797872,213.8510638,243.5691489,616.1276596,143.3138298,362.393617,366.2712766
151,159.6031746,502.973545,198.6455026,916.1375661,212.0952381,241.4603175,616.2486772,143.0846561,358.5343915,371.3015873
152,165.9259259,501.8359788,200.031746,909.4656085,210.5132275,234.8994709,621.7142857,144.6349206,352.957672,373.9100529
153,168.6276596,498.6755319,202.3457447,871.0531915,206.4042553,233.2606383,625.393617,146.8617021,345.4308511,363.4734043
154,169.957672,515.9417989,199.2698413,929.2592593,202.4497354,234.031746,618.7301587,145.6772487,340.8095238,349.973545
155,167.1010638,561.5744681,198.2393617,964.5,208.2393617,231.6542553,616.3617021,143.0106383,339.6170213,346.3297872
156,161.0691489,593.1702128,197.5531915,961.5638298,209.9042553,228.8617021,619.3351064,143.8670213,344.6595745,341.0744681
157,165.802139,587.7593583,199.4331551,998.1122995,204.4117647,233.5080214,620.5508021,146.8770053,356.7807487,336.9304813
158,167.6774194,551.8602151,199.8333333,1011.806452,201.5483871,238.5268817,613.3924731,147.4892473,354.0483871,343.8817204
159,171.1336898,511.1176471,197.828877,996.1871658,199.2513369,243.026738,608.6631016,146.9465241,349.0481283,361.1229947
160,167.0376344,490.811828,203.0215054,1017.784946,201.3870968,246.2096774,615.6827957,147.2526882,353.7849462,381.0268817
161,159.5913978,520.4354839,202.7741935,1030.344086,209.9677419,245.1182796,627.3763441,147.2043011,354.8870968,380.4301075
