Distance_(microns),eve,en,mlpt,hb,kr,gt,svb,cad,runt,odd
0,176.5714286,116.6428571,349.5,525.6428571,147.1428571,365.8571429,470.0714286,99,232.7857143,219.6428571
1,170.7954545,115.0227273,327.8409091,630.7045455,151.6363636,423.9318182,453.7045455,99.18181818,236.75,217.4772727
2,164.4153846,117.7846154,305.3692308,681.0769231,146.3230769,460.2615385,458.8769231,103.2461538,229.5230769,232.6461538
3,160.6986301,118.2876712,300.369863,662.6712329,145.3013699,450.3424658,468.9315068,104.7671233,227.3972603,231.5479452
4,166.1818182,117.6493506,285.1038961,617.1168831,141.9350649,447.4285714,473.2987013,105.8441558,223.1428571,230.5714286
5,168.1038961,119.2207792,276.2337662,603.974026,138.8831169,439.1428571,470.0909091,106.1558442,223.038961,229.5974026
6,163.9473684,122.2631579,277.5526316,654.7105263,138.4078947,449.9605263,472.3552632,105.1447368,229.0921053,231.6184211
7,158.6493506,124.4025974,282.2727273,708.8571429,140.2207792,462.4545455,474.6363636,104.6883117,236.4285714,240.1298701
8,166.7272727,124.8961039,292.4415584,729.2727273,143.5454545,465.0649351,470.7142857,104.5064935,235.7272727,251.2467532
9,165.1184211,121.0131579,291.25,709.4736842,145.1842105,459.8421053,456.25,103.5789474,231.6447368,258.6842105
10,162.7402597,117.7532468,287.4545455,725.025974,145.2987013,446.1558442,442.038961,101.5714286,230.8441558,260.6753247
11,166.4415584,116.6623377,282.974026,749.025974,143.5064935,448.974026,442.7532468,100.5584416,225.2987013,252.4025974
12,174.4805195,117.3246753,274.1298701,768.2857143,148.2077922,473.4155844,448.0519481,101.5584416,217.4025974,241.1428571
13,178.6666667,116.6923077,277.0384615,795.1923077,151.0641026,494.025641,448.9871795,102.3717949,213.1794872,242.0384615
14,175.6794872,115.7051282,268.9487179,782.0641026,150,520.025641,434.2179487,102.6410256,212.0641026,244.8333333
15,170.6282051,114.6025641,258.2692308,761.4871795,148.9615385,532,401.6025641,102.525641,210.7051282,243.7820513
16,165.6582278,114.7341772,251.7341772,754.4050633,143.164557,519.3924051,377.8860759,99.58227848,208.2405063,235.3797468
17,163.1392405,118.0126582,245.1139241,701.2911392,142.1518987,489.2025316,385.2658228,96.39240506,205.7848101,225.4177215
18,162.0379747,124.278481,245.3291139,679.7848101,144.4177215,449.4303797,405.6582278,95.17721519,208.1518987,223.5949367
19,161.65,131.7,242.9,672.25,140.975,433.1125,409.575,94.825,211.4125,226
20,163.975,142.4375,234.8375,682.05,138.85,425.025,410.8375,95,205.6,222.6375
21,161.6875,161.075,228.2875,713.975,139.8,434.0125,406.25,95.0625,203.175,220.025
22,154.0238095,183.952381,223.5119048,717.8333333,144.9761905,442.8214286,393.8571429,94.91666667,202.9880952,217.4761905
23,151.7471264,219.183908,220.2413793,701.6781609,155.8850575,445.5402299,387.2068966,94.43678161,204.137931,217.5632184
24,153.0111111,279.2333333,216.5444444,680.3666667,158.5,452.7777778,385.5,93.73333333,206.5444444,214.7444444
25,155.3894737,343.9263158,216.1157895,785.8,147.6105263,474.3263158,383.3578947,94.18947368,205.4947368,214.0947368
26,156.4183673,392.0816327,220.6734694,832.1020408,143.4285714,492.7142857,385.4285714,95.62244898,206.8163265,218.3979592
27,155.8712871,410.4851485,226.9207921,834.950495,141.8712871,507.970297,388.3663366,97.6039604,212.8514851,222.6831683
28,152.184466,408.7184466,224.6796117,891.1262136,143.2135922,509.7864078,396.4854369,100.7378641,216.4951456,234.815534
29,153.2056075,406.7663551,233.1869159,975.953271,144.3551402,508.5046729,401.9813084,104.1962617,218.1308411,242.2149533
30,161.5855856,434.6666667,233.7927928,955.9279279,146.2162162,518.7747748,415.4414414,106.9189189,221.7027027,248.5405405
31,170.7652174,489.7565217,231.5043478,907.3304348,147.9565217,520.4086957,431.1391304,109.9826087,227.1391304,250.0869565
32,172.8487395,531.0252101,228.5378151,882.0672269,149.2436975,498.789916,440.1428571,109.2521008,230.1260504,251.8403361
33,169.3790323,536.4274194,230.6854839,895.7419355,152.0806452,484.3951613,443.1532258,109.8387097,234.1935484,253.5403226
34,167.8203125,535.5703125,232.7421875,922.2578125,150.28125,471.4609375,454.2734375,115.9921875,234.4140625,258.84375
35,170.9172932,544.7368421,234.6541353,929.3233083,144.518797,460.7368421,465.5639098,121.4360902,234.7819549,263.6466165
36,176.7826087,558.3985507,236.7536232,920.0724638,145.1086957,472.6231884,472.1594203,123.7101449,236.9347826,260.5217391
37,179.8439716,560.2907801,245.106383,896.9432624,146.2978723,466.7801418,474.4255319,123.6595745,238.1560284,251.964539
38,181.9172414,546.1655172,248.1586207,866.1103448,145.9793103,440.5310345,483.5931034,120.0413793,236.7448276,242.2068966
39,181.3310811,527.2364865,249.2837838,847.3378378,145.2297297,427.9527027,478.8581081,118.1418919,232.4121622,236.1824324
40,182.38,512.32,254.0733333,841.38,141.78,438.3,468.3133333,114.96,228.2066667,230.8
41,184.0326797,517.4575163,253.2875817,864.2875817,138.7647059,453.6143791,450.503268,107.7581699,226.2418301,228.1437908
42,189.7483871,530.4709677,250.2064516,857.0451613,136.7096774,444.2580645,440.2903226,103.2774194,224.2645161,228.9935484
43,184.1923077,529.9358974,247.3589744,837.3782051,135.6987179,434.7628205,431.3525641,103.1602564,223.1089744,232.1987179
44,178.7483871,544.6064516,252.0064516,798.7677419,135.5806452,421.4,426.1870968,104.5677419,225.2645161,242.0129032
45,172.6387097,548.0129032,244.0516129,758.0193548,135.4774194,409.1290323,429.0967742,104.316129,227.1419355,254.0258065
46,170.3181818,531.1363636,229.7077922,750.4090909,137.1883117,415.2077922,423.4155844,106.987013,227.3181818,262.1883117
