Distance_(microns),eve,en,mlpt,hb,kr,gt,svb,cad,runt,odd
0,142.6088751,109.7708978,502.3611971,557.6780186,616.4396285,469.0773994,624.9411765,217.2342621,691.128999,296.4695562
1,142.5737874,110.0082559,513.9597938,565.385567,617.9773196,469.0453608,621.9896907,216.6278351,687.3082474,298.5752577
2,143.4912461,109.8898043,521.1791967,572.8218332,619.5211123,470.6467559,620.8352214,216.8053553,689.1174047,300.2420185
3,146.0154321,110.2582305,516.9794239,575.4547325,623.6203704,473.1646091,620.2098765,218.1903292,691.5195473,299.3045267
4,146.7458848,110.7191358,507.9701646,568.4979424,626.537037,473.2602881,621.1399177,219.6286008,690.9053498,297.4393004
5,146.0977366,110.526749,494.9938272,558.8744856,623.9454733,473.0390947,624.712963,218.9290123,689.3744856,295.6512346
6,145.9927984,110.8353909,481.4341564,555.5113169,622.462963,475.1975309,629.0761317,218.3919753,691.968107,296.5
7,146.9320988,111.1841564,475.1244856,558.68107,625.3713992,475.350823,630.7808642,218.632716,697.3919753,300.6574074
8,149.0164609,111.5576132,475.6676955,567.5020576,627.0246914,471.7355967,629.882716,218.2376543,702.4773663,304.2067901
9,147.8653649,112.2168551,475.2353546,573.7584789,626.3165468,469.8273381,625.2291881,217.5827338,705.0390545,303.1479959
10,147.073922,112.5790554,473.886037,575.0174538,628.4106776,469.476386,621.2289528,216.8665298,706.0225873,301.1899384
11,149.7197125,111.7535934,473.3655031,576.0523614,630.5728953,471.0277207,624.3203285,216.711499,705.0975359,302.050308
12,151.5112936,111.7135524,471.2453799,576.7156057,627.2967146,473.1180698,627.224846,217.4948665,705.1211499,302.4055441
13,152.0955807,112.1993834,467.1479959,571.6248715,625.2374101,472.3350462,626.9260021,219.0709147,703.9393628,304.2774923
14,151.9136691,112.1798561,465.0863309,562.2230216,623.9403905,471.2353546,623.6505653,220.6053443,699.7101747,305.368962
15,151.9044193,112.356629,469.4224049,551.7368962,624.2939363,469.8869476,620.9928058,220.9105858,695.6567318,303.4861254
16,152.9178645,112.8172485,473.0123203,541.2772074,630.4373717,469.2073922,621.1314168,220.986653,691.3778234,299.4958932
17,154.5256674,113.0277207,472.0174538,537.7361396,635.6899384,470.6088296,623.8829569,219.5954825,687.674538,296.1098563
18,154.6047228,113.4014374,473.4045175,541.1190965,634.3398357,472.8100616,624.1457906,217.7340862,687.2125257,297.8706366
19,154.1170431,114.0349076,478.0225873,544.9425051,627.2679671,472.5944559,622.936345,217.7546201,688.8275154,300.1324435
20,154.3141684,114.0985626,483.1334702,541.5862423,620.9445585,472.0924025,622.476386,216.7258727,689.5349076,299.7135524
21,154.4687179,113.534359,486.1569231,537.9958974,618.5169231,470.0523077,619.3651282,216.0451282,690.7620513,297.1312821
22,154.9846154,114.1671795,487.04,537.1138462,622.0287179,469.4379487,615.5282051,216.6646154,692.9312821,296.0533333
23,156.704918,113.9159836,481.4354508,535.7459016,625.6577869,471.9334016,614.7407787,217.9098361,695.8186475,295.7756148
24,158.2704918,113.0829918,475.6741803,534.9047131,626.0153689,473.6219262,619.5256148,218.7059426,700.2961066,296.335041
25,159.0952869,112.585041,477.6997951,533.0809426,628.3125,470.0266393,622.3012295,219.664959,704.3217213,298.4108607
26,159.460041,113.4436475,482.0235656,532.75,630.3647541,465.4067623,619.7172131,220.1690574,703.9456967,300.767418
27,158.4303279,114.017418,486.1936475,536.9651639,629.1639344,466.0696721,615.9641393,219.0143443,699.0358607,299.1096311
28,160.3586066,113.4446721,496.1629098,541.0747951,629.8668033,469.0112705,617.5614754,217.6383197,696.6086066,295.0758197
29,164.1647902,112.3162743,506.8781986,541.2384852,634.3715455,469.3306039,619.8925281,217.4657114,695.3582395,294.0317298
30,164.111566,111.4165814,509.4012282,539.616172,634.0716479,468.0020471,620.6867963,219.9303992,694.3019447,295.7226203
31,161.7256909,111.0634596,503.8976459,537.5752303,629.703173,468.0747185,624.3428864,224.5629478,699.1269191,299.09826
32,161.517912,111.7584442,498.2466735,537.926305,625.9918117,468.6847492,625.4216991,225.937564,703.4882293,299.9733879
33,163.2108495,112.0470829,495.0849539,536.2579324,625.5783009,467.2088025,622.1381781,223.6151484,700.9907881,298.8085977
34,165.6083845,112.908998,495.0490798,532.1891616,626.0408998,466.291411,620.2075665,223.0449898,697.1022495,297.6605317
35,168.3660532,113.9284254,501.7106339,530.0797546,626.4304703,465.0439673,617.5920245,225.698364,692.9723926,297.3599182
36,169.3312883,113.2903885,508.6196319,528.8558282,623.2382413,463.0439673,613.2944785,228.9867076,689.5644172,298.7116564
37,169.4417178,112.2239264,507.7862986,523.8139059,619.1615542,459.6564417,610.1441718,230.9764826,687.9764826,298.002045
38,170.202454,110.9887526,502.1676892,517.801636,616.5163599,460.7658487,605.2832311,232.396728,682.0787321,292.8691207
39,170.8343558,110.3190184,497.3261759,516.6298569,614.2474438,466.293456,600.9928425,232.3875256,676.390593,288.2474438
40,169.5857143,110.777551,495.2867347,519.5316327,612.7428571,468.4908163,599.7989796,228.8938776,679.8765306,286.6744898
41,167.4163265,112.1581633,494.5469388,520.2806122,613.5214286,466.4612245,600.2336735,224.6081633,683.3489796,288.4183673
42,166.8540816,112.5653061,491.6153061,513.355102,610.7377551,465.4795918,604.7173469,220.6918367,678.1581633,287.7530612
43,167.5591837,112.0744898,488.744898,505.9193878,605.2397959,463.8489796,611.2285714,220.4683673,675.6071429,288.4428571
44,168.4326531,111.0836735,485.7459184,503.4326531,603.9561224,460.072449,612.8010204,222.377551,677.7030612,291.1132653
45,169.2510204,110.8520408,483.1265306,504.8969388,604.1663265,455.5816327,608.8326531,224.4602041,680.1826531,292.0306122
46,170.1009174,110.9469929,479.4729867,507.0183486,602.9857288,456.038736,605.1376147,225.1284404,678.3506626,290.4821611
47,171.3160041,110.2507645,476.7737003,507.922528,601.2008155,459.9194699,606.579001,225.4536188,678.8664628,288.7940877
48,171.4046891,109.9602446,477.0479103,506.3914373,596.1213048,459.2711519,609.3792049,226.2609582,682.3690112,287.4006116
49,171.3639144,109.8063201,480.1712538,503.5382263,593.254842,458.4607543,610.1264016,226.745158,684.9847095,288.5443425
50,172.4108053,110.1182467,481.2456677,502.0183486,596.2446483,460.3751274,608.8073394,228.5586137,682.7828746,291.2803262
51,174.2522889,111.3499491,478.6703967,500.9725331,599.723296,458.0752798,606.2339776,231.2299084,678.6500509,294.3916582
52,176.8596134,112.3560529,478.6734486,501.3886063,604.08647,455.6612411,606.4893184,233.8484232,678.7955239,294.3489318
53,179.2370295,112.5818922,481.0183113,501.6449644,608.6978637,457.318413,606.525941,235.7009156,683.5676501,293.0010173
54,179.664293,113.370295,484.0976602,498.750763,609.0142421,458.7304171,606.2716175,234.4455748,686.9908444,292.7466938
55,179.7070193,113.5635809,484.2115972,494.5523906,610.3336724,456.4343845,607.2899288,232.3926755,685.0498474,293.2563581
56,181.8738555,112.8524924,484.2034588,495.809766,615.3519837,456.5228891,609.7446592,231.6948118,681.6134283,295.0142421
57,182.6473577,112.1534553,485.0772358,501.6006098,621.074187,459.0569106,610.5945122,231.1006098,683.5406504,296.203252
58,183.5589431,111.5142276,482.4359756,506.3770325,626.9674797,460.648374,609.6412602,230.7957317,688.4085366,294.5609756
